x,y,z,SaliencyScore,NormalizedScore
0.3699,-0.0477,-0.2227,0.0,0.0
0.3721,0.1182,-0.2526,0.0,0.0
-0.165,-0.1539,0.4779,0.0,0.0
-0.1889,0.0302,0.5717,0.0,0.0
-0.1326,-0.2414,0.3977,0.0,0.0
-0.1664,0.1586,-0.2793,0.0,0.0
-0.0424,-0.2414,-0.4213,0.0,0.0
-0.0895,0.2214,-0.4497,0.0,0.0
-0.0005,-0.218,0.185,0.0,0.0
-0.2833,-0.2414,-0.1328,0.0,0.0
0.3062,-0.1792,0.534,0.18906685236768805,0.015240821825530482
0.5159,-0.0842,-0.0726,0.0,0.0
-0.1113,0.0254,-0.5327,1.1049791086350975,0.08907320085326147
0.2511,0.1586,-0.1882,0.0,0.0
0.0108,-0.0931,-0.3854,0.0,0.0
0.2081,-0.1816,-0.2455,0.0,0.0
-0.326,-0.0915,0.0601,0.0,0.0
0.4223,-0.1443,-0.2526,0.0,0.0
-0.5315,-0.1277,-0.0248,0.0,0.0
0.7369,-0.0445,-0.3097,0.0,0.0
0.0791,-0.0541,-0.2983,0.0,0.0
-0.2583,0.1804,0.216,0.3563718662952646,0.02872740541147412
-0.4076,0.074,-0.0731,0.9096448467966574,0.07332715841472998
0.2001,-0.0658,-0.2477,0.0,0.0
0.2418,-0.2134,-0.0617,0.0,0.0
-0.1624,0.1886,-0.3742,0.0,0.0
0.1374,-0.1949,0.0141,0.0,0.0
0.1481,-0.1829,-0.2651,0.0,0.0
-0.1621,-0.2414,0.114,0.0,0.0
-0.1665,0.027,0.4645,0.0,0.0
0.1849,-0.186,-0.2837,0.7486072423398329,0.06034579544178735
0.325,-0.1449,0.5425,0.0,0.0
0.3401,0.1586,-0.1766,0.0,0.0
0.3624,-0.0169,-0.253,0.0,0.0
-0.0874,-0.1945,0.589,0.4204387186629527,0.03389188278881778
-0.0621,0.1586,-0.2108,0.0,0.0
0.4173,-0.17,-0.2225,0.0,0.0
-0.0168,0.1762,-0.3701,0.0,0.0
0.0936,-0.2414,0.263,0.0,0.0
-0.1991,0.1886,0.219,0.3720403899721449,0.02999045694397665
-0.0238,0.1531,0.2308,0.0,0.0
-0.1596,-0.1532,0.5525,0.0,0.0
