x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
0.7867,0.1665,-0.3614,0.0,[],0.0,0.0
-0.6498,-0.1726,0.3672,0.0,[],0.0,0.0
-0.7891,-0.341,-0.5693,0.0,[],0.0,0.0
0.3535,0.2141,-0.4061,0.0,[],0.0,0.0
-0.5988,-0.1726,0.1975,0.0,[],0.0,0.0
-0.2139,-0.4026,-0.4245,0.0,[],0.0,0.0
-0.6205,-0.4026,0.3838,0.0,[],0.0,0.0
-0.4747,-0.1726,0.5918,0.0,[],0.0,0.0
0.7476,-0.3976,-0.602,0.0,[],0.0,0.0
-0.1444,-0.1365,-0.2203,0.0,[],0.0,0.0
0.543,-0.2756,-0.4175,2.527585795996187,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.1582953667737566
0.654,-0.2089,-0.61,0.5737607244995233,"['Neutral', 'Neutral', 'Neutral']",0.0,0.0359329698991414
0.6059,-0.4026,-0.3429,0.0,[],0.0,0.0
-0.3076,-0.1726,0.3269,0.0,[],0.0,0.0
0.25,-0.3345,-0.0514,0.2030505243088656,['Neutral'],0.0,0.012716465359945374
-0.5744,-0.1866,-0.5839,0.0,[],0.0,0.0
-0.2023,0.3376,-0.1283,0.0,[],0.0,0.0
0.2933,-0.0731,-0.1619,0.0,[],0.0,0.0
-0.1097,-0.1227,-0.7106,0.0,[],0.0,0.0
-0.0372,0.2161,-0.0248,0.0,[],0.0,0.0
0.2588,0.1221,0.0554,0.0,[],0.0,0.0
0.5162,-0.2146,-0.663,0.0,[],0.0,0.0
0.1801,-0.4026,-0.4466,0.0,[],0.0,0.0
-0.5969,-0.1726,-0.034,0.0,[],0.0,0.0
0.7854,-0.0035,-0.0801,0.3792897998093423,"['Neutral', 'Neutral']",0.0,0.02375381997694021
0.1723,0.0369,-0.0547,0.0,[],0.0,0.0
0.5953,-0.2691,-0.4231,0.0,[],0.0,0.0
-0.6852,-0.1726,0.0376,0.0,[],0.0,0.0
-0.5235,-0.4026,-0.058,0.0,[],0.0,0.0
0.6289,-0.2132,-0.4705,8.100452812202098,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.5073078630890414
-0.0039,-0.1982,-0.5974,0.0,[],0.0,0.0
0.4057,-0.0771,-0.2708,0.0,[],0.0,0.0
0.7867,0.1456,-0.1963,0.3301954242135367,['Neutral'],0.0,0.020679181638737457
-0.481,-0.1726,0.191,0.0,[],0.0,0.0
-0.5586,-0.4026,-0.2462,0.0,[],0.0,0.0
-0.5664,-0.4026,0.3507,0.0,[],0.0,0.0
-0.2777,0.2638,-0.0655,0.0,[],0.0,0.0
0.2653,0.1452,-0.4603,1.178622497616778,"['Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.07381370826010544
-0.0886,-0.4026,-0.0211,0.0,[],0.0,0.0
-0.0321,0.0369,-0.1417,0.0,[],0.0,0.0
0.5783,0.3776,-0.1623,0.0,[],0.0,0.0
-0.5044,0.1931,-0.3423,0.0,[],0.0,0.0
-0.4445,-0.1083,-0.2031,0.45841277407054337,['Neutral'],0.0,0.02870906234724756
0.5747,0.3636,-0.1504,0.0,[],0.0,0.0
-0.2892,-0.2522,0.2221,0.0,[],0.0,0.0
0.0315,0.3253,-0.1178,0.0,[],0.0,0.0
-0.7892,-0.2236,0.2488,0.3671949475691135,['Neutral'],0.0,0.022996354464009192
-0.5044,0.3027,-0.2825,0.0,[],0.0,0.0
0.0956,-0.1006,-0.6218,0.19876072449952337,['Neutral'],0.0,0.012447807641073286
-0.3005,-0.0524,-0.8439,0.0,[],0.0,0.0
-0.6389,-0.2026,0.7118,0.0,[],0.0,0.0
-0.3949,-0.1726,0.3045,0.5818040991420401,['Attention'],1.0,0.041655628068263936
-0.0325,-0.1072,-0.5411,0.0,[],0.0,0.0
0.023,-0.0863,-0.5124,0.0,[],0.0,0.0
0.4376,0.084,-0.4081,0.3905505243088656,"['Neutral', 'Neutral']",0.0,0.024459046488979435
-0.2173,0.3639,-0.1507,0.0,[],0.0,0.0
0.5295,-0.1415,-0.2188,15.967528598665398,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,1.0
