x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
0.1093,-0.0098,-0.4261,3.1606349206349207,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",13.0,0.09478180790280653
0.8377,0.095,0.0182,0.22632478632478634,['Attention'],1.0,0.0005220828424019596
0.4221,-0.0614,-0.233,0.0,[],0.0,0.0
0.3304,0.0406,-0.3685,0.0,[],0.0,0.0
-0.5015,-0.0092,-0.0769,0.0,[],0.0,0.0
0.7348,-0.0071,-0.5608,0.0,[],0.0,0.0
-0.2947,-0.0502,0.6116,0.0,[],0.0,0.0
0.4299,0.0327,-0.409,0.0,[],0.0,0.0
-0.2248,0.2702,0.9544,0.0,[],0.0,0.0
0.3104,0.0116,-0.5176,0.0,[],0.0,0.0
-0.5753,0.1953,0.4908,0.0,[],0.0,0.0
-0.4226,-0.2221,0.4525,0.0,[],0.0,0.0
-0.2401,0.0256,0.8869,0.0,[],0.0,0.0
0.3477,0.2299,0.4687,0.22485958485958485,['Attention'],1.0,0.0005187029362146358
-0.4258,-0.0392,-0.8006,0.0,[],0.0,0.0
0.6798,-0.1565,0.3438,0.0,[],0.0,0.0
0.4592,0.2505,0.7114,4.896166056166056,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",20.0,0.22588814358202006
0.8959,0.0989,0.0406,0.0,[],0.0,0.0
0.421,0.1645,0.4553,0.0,[],0.0,0.0
-0.1113,-0.0764,-0.9536,0.676923076923077,"['Attention', 'Attention', 'Attention']",3.0,0.004684549975630877
0.0452,-0.0446,-0.831,0.0,[],0.0,0.0
-0.5579,-0.0092,0.2142,0.0,[],0.0,0.0
-0.5619,-0.0092,0.449,0.0,[],0.0,0.0
-0.3292,-0.1419,-0.3584,0.0,[],0.0,0.0
0.4201,0.1627,0.2177,0.2641269841269841,['Attention'],1.0,0.0006092844220349153
0.0497,-0.0092,0.9178,0.797997557997558,"['Attention', 'Attention']",2.0,0.0036816191463123087
-0.3239,0.1623,0.5844,0.0,[],0.0,0.0
-0.7008,0.1814,0.5081,0.0,[],0.0,0.0
-0.5432,0.223,0.6331,0.0,[],0.0,0.0
-0.2788,-0.0538,-0.6127,0.0,[],0.0,0.0
-0.4557,-0.0092,0.4337,0.0,[],0.0,0.0
-0.4696,-0.0643,0.3466,0.0,[],0.0,0.0
-0.5708,0.0678,-0.2287,0.0,[],0.0,0.0
-0.3361,0.0008,0.7474,0.0,[],0.0,0.0
0.1833,0.2747,0.8357,0.0,[],0.0,0.0
0.4614,0.0572,-0.1487,0.0,[],0.0,0.0
-0.2519,0.2713,0.9603,0.0,[],0.0,0.0
0.1887,0.2467,0.7551,0.3365567765567766,['Attention'],1.0,0.0007763644512282919
0.225,-0.0703,-0.9768,0.0,[],0.0,0.0
-0.6977,0.1528,0.3462,0.0,[],0.0,0.0
0.6964,0.1411,0.2469,0.0,[],0.0,0.0
-0.5003,0.0462,-0.3399,0.0,[],0.0,0.0
0.7345,0.088,-0.0789,0.0,[],0.0,0.0
0.708,-0.2642,0.1566,0.0,[],0.0,0.0
-0.0279,-0.2463,0.7258,0.0,[],0.0,0.0
0.3509,-0.2219,0.5555,0.0,[],0.0,0.0
0.3254,0.2203,0.4795,0.23130647130647133,['Attention'],1.0,0.0005335745234388608
0.5308,0.041,-0.3034,0.0,[],0.0,0.0
-0.0432,0.2676,0.9394,0.0,[],0.0,0.0
-0.6806,0.0008,0.0042,0.6725274725274726,"['Attention', 'Attention', 'Attention']",3.0,0.004654130819944962
-0.5085,-0.055,0.1068,0.34534798534798533,['Attention'],1.0,0.000796643888352235
-0.5274,-0.2941,-0.4415,0.0,[],0.0,0.0
0.4081,-0.0092,0.6025,0.0,[],0.0,0.0
-0.3395,0.1975,0.3943,0.0,[],0.0,0.0
0.4704,0.1397,0.3444,0.23804639804639804,['Attention'],1.0,0.0005491220919005506
0.4224,0.1607,0.2104,0.2641269841269841,['Attention'],1.0,0.0006092844220349153
-0.5073,-0.2358,0.1614,0.5634676434676436,"['Attention', 'Attention']",2.0,0.002599598512210362
-0.1546,0.2376,0.7084,0.0,[],0.0,0.0
-0.8466,0.044,-0.2709,0.0,[],0.0,0.0
-0.4751,-0.0341,-0.7141,0.0,[],0.0,0.0
-0.381,0.0976,-0.0253,0.0,[],0.0,0.0
-0.7335,0.1791,0.4953,0.0,[],0.0,0.0
0.2122,0.0158,-0.2838,0.7883272283272283,"['Attention', 'Attention', 'Attention']",3.0,0.00545550657695945
0.6267,-0.2334,-0.2756,0.0,[],0.0,0.0
-0.2221,0.2435,0.5195,0.0,[],0.0,0.0
0.6482,0.2208,0.6741,0.4552869352869353,"['Attention', 'Attention']",2.0,0.0021004990318822044
-0.8204,0.0811,-0.1183,0.0,[],0.0,0.0
-0.4028,0.1383,0.1269,3.1594627594627602,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",13.0,0.09474665687845839
-0.4136,-0.0743,-0.5604,0.0,[],0.0,0.0
-0.4295,-0.1546,0.7671,0.0,[],0.0,0.0
0.2013,-0.0151,-0.4457,0.0,[],0.0,0.0
0.829,0.1366,0.1965,0.6760439560439561,"['Attention', 'Attention', 'Attention']",3.0,0.004678466144493694
0.2367,0.2682,0.8025,0.0,[],0.0,0.0
0.2918,0.0008,0.8443,0.0,[],0.0,0.0
0.4272,0.244,0.7409,0.0,[],0.0,0.0
0.2887,0.0092,-0.53,0.0,[],0.0,0.0
0.4711,-0.0092,-0.1573,0.0,[],0.0,0.0
-0.6106,0.2135,0.5208,0.0,[],0.0,0.0
0.1711,-0.0016,0.6903,0.0,[],0.0,0.0
-0.4012,0.0194,-0.4143,0.0,[],0.0,0.0
-0.0243,0.0168,0.7249,0.0,[],0.0,0.0
-0.2378,-0.0304,-0.7503,0.0,[],0.0,0.0
-0.0261,-0.0579,-0.849,0.2274969474969475,['Attention'],1.0,0.0005247867673518187
0.3416,0.1522,0.5644,0.0,[],0.0,0.0
-0.5697,-0.1959,-0.3814,0.0,[],0.0,0.0
0.1767,-0.031,-0.7539,0.0,[],0.0,0.0
-0.3882,0.1575,0.2452,0.0,[],0.0,0.0
-0.1748,0.2639,0.8433,0.0,[],0.0,0.0
-0.4347,0.0008,-0.2617,0.0,[],0.0,0.0
0.4766,0.233,0.621,1.353846153846154,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.015615166585436257
-0.7112,0.1259,0.1937,0.0,[],0.0,0.0
0.3961,0.0842,-0.0284,0.4517704517704518,"['Attention', 'Attention']",2.0,0.00208427548218305
0.5479,-0.0092,0.4849,0.0,[],0.0,0.0
0.1726,0.0099,-0.3523,0.4526495726495727,"['Attention', 'Attention']",2.0,0.0020883313696078384
-0.306,-0.0408,-0.8093,0.0,[],0.0,0.0
-0.4005,-0.0635,-0.8804,0.2231013431013431,['Attention'],1.0,0.0005146470487898472
0.7252,0.0049,-0.5504,0.0,[],0.0,0.0
0.5619,0.1378,0.1317,0.0,[],0.0,0.0
0.4367,-0.0092,-0.282,0.0,[],0.0,0.0
0.4453,-0.0042,-0.1872,0.0,[],0.0,0.0
-0.1414,-0.0241,-0.6381,0.0,[],0.0,0.0
0.2588,-0.1343,0.6401,0.0,[],0.0,0.0
-0.5746,0.2019,0.5245,0.0,[],0.0,0.0
-0.6386,-0.0021,0.4691,0.0,[],0.0,0.0
0.4728,-0.0092,0.6217,0.0,[],0.0,0.0
-0.0074,-0.0574,-0.8462,0.0,[],0.0,0.0
-0.7835,0.087,-0.0845,0.0,[],0.0,0.0
0.3983,0.2367,0.6405,3.5508180708180705,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",14.0,0.11467368245060323
0.8526,0.1432,0.2339,0.0,[],0.0,0.0
0.5065,-0.1577,0.6879,0.0,[],0.0,0.0
0.5397,-0.0092,-0.5725,0.0,[],0.0,0.0
-0.5052,-0.2166,0.1863,0.0,[],0.0,0.0
-0.1601,-0.2224,0.695,0.0,[],0.0,0.0
-0.3983,0.1468,0.1584,0.0,[],0.0,0.0
-0.756,0.1515,0.2812,0.0,[],0.0,0.0
-0.3629,0.1242,0.8194,0.0,[],0.0,0.0
0.5196,-0.0092,0.0154,0.0,[],0.0,0.0
0.2867,0.2678,0.9408,0.0,[],0.0,0.0
-0.4652,0.0008,0.414,0.0,[],0.0,0.0
0.8472,0.039,-0.2995,0.0,[],0.0,0.0
0.3122,0.2413,0.8513,0.0,[],0.0,0.0
0.5014,0.0621,0.0048,0.22603174603174603,['Attention'],1.0,0.0005214068611644948
0.6059,-0.1183,0.5389,0.902954822954823,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.008331694078832481
-0.1338,0.0008,0.768,0.0,[],0.0,0.0
-0.7062,-0.1746,0.1838,0.0,[],0.0,0.0
0.4084,0.2613,0.7666,0.0,[],0.0,0.0
-0.3701,0.242,0.5139,0.0,[],0.0,0.0
-0.3858,0.2483,0.7,0.0,[],0.0,0.0
-0.4486,-0.0243,-0.6584,0.0,[],0.0,0.0
0.4179,0.0017,-0.5054,0.0,[],0.0,0.0
0.174,0.2503,0.7733,0.0,[],0.0,0.0
0.3296,0.2217,0.4848,0.23130647130647133,['Attention'],1.0,0.0005335745234388608
-0.0176,-0.1095,0.726,0.0,[],0.0,0.0
0.4104,0.2437,0.8618,0.33831501831501826,['Attention'],1.0,0.0007804203386530802
0.4316,-0.1965,0.7652,0.0,[],0.0,0.0
-0.6297,-0.0009,0.4896,0.0,[],0.0,0.0
0.6543,0.0608,-0.2331,0.0,[],0.0,0.0
-0.6144,0.0123,-0.3018,0.0,[],0.0,0.0
-0.5937,0.0364,-0.3718,0.0,[],0.0,0.0
-0.0021,-0.0092,0.7584,0.0,[],0.0,0.0
-0.4569,-0.1937,0.7416,0.0,[],0.0,0.0
-0.1513,0.0008,0.7022,0.0,[],0.0,0.0
-0.7939,0.1325,0.1732,0.0,[],0.0,0.0
0.0485,0.283,0.7243,4.405421245421246,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",16.0,0.16259782293482664
-0.83,0.0549,-0.2094,0.0,[],0.0,0.0
-0.2024,0.0366,0.6749,0.0,[],0.0,0.0
0.2542,-0.0412,-0.8116,0.0,[],0.0,0.0
-0.3802,0.0008,0.7577,0.0,[],0.0,0.0
-0.2364,-0.0225,-0.7055,0.0,[],0.0,0.0
0.1232,-0.005,-0.5399,0.0,[],0.0,0.0
0.615,-0.0092,-0.0448,0.0,[],0.0,0.0
-0.2225,-0.0438,-0.4432,0.0,[],0.0,0.0
0.3842,0.0299,-0.3603,0.0,[],0.0,0.0
-0.3404,-0.247,0.5673,0.0,[],0.0,0.0
0.3687,0.2583,0.8867,0.0,[],0.0,0.0
-0.6184,-0.1739,0.5142,0.0,[],0.0,0.0
0.358,0.0267,-0.4401,0.0,[],0.0,0.0
-0.5978,0.0008,0.3881,0.0,[],0.0,0.0
0.5693,0.2089,0.5606,0.8997313797313797,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.008301950904384032
0.3648,0.0914,-0.0483,1.8103052503052506,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.029231907305847488
-0.2924,-0.2832,0.6137,0.0,[],0.0,0.0
0.0029,-0.1734,0.7265,0.0,[],0.0,0.0
0.3969,0.245,0.8692,0.0,[],0.0,0.0
-0.4529,-0.1266,0.7454,0.0,[],0.0,0.0
0.5939,-0.1831,0.5608,0.0,[],0.0,0.0
-0.5243,-0.2739,0.666,0.0,[],0.0,0.0
0.0538,-0.0011,-0.5833,0.0,[],0.0,0.0
-0.5844,0.1238,0.1225,0.0,[],0.0,0.0
0.1363,-0.1298,0.9203,0.0,[],0.0,0.0
