x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
-0.1029,-0.0279,0.3564,0.0,0.0,[],0.0,0.0,0.0
-0.2627,-0.0279,0.3484,0.0,0.0,[],0.0,0.0,0.0
-0.6931,0.2008,-0.447,0.0,0.0,[],0.0,0.0,0.0
0.078,-0.0134,0.1687,0.0,0.0,[],0.0,0.0,0.0
0.0659,0.2279,-0.6028,0.0,0.0,[],0.0,0.0,0.0
-0.6069,0.1544,0.1318,0.0,0.0,[],0.0,0.0,0.0
-0.0971,-0.0279,-0.4504,0.0,0.0,[],0.0,0.0,0.0
0.0469,0.2279,0.3488,0.0,0.0,[],0.0,0.0,0.0
0.3214,-0.0279,0.2933,0.0,0.0,[],0.0,0.0,0.0
0.2283,-0.0379,0.2203,0.0,0.0,[],0.0,0.0,0.0
0.2063,0.2008,0.1699,0.0,0.0,[],0.0,0.0,0.0
-0.3229,-0.0279,0.1352,0.0,0.0,[],0.0,0.0,0.0
-0.6151,-0.0279,0.4014,0.0,0.0,[],0.0,0.0,0.0
0.4838,-0.2279,0.3207,0.0,0.0,[],0.0,0.0,0.0
-0.5946,0.093,-0.5971,0.0,0.0,[],0.0,0.0,0.0
0.0921,0.1872,0.7023,0.0,0.0,[],0.0,0.0,0.0
0.0204,0.0586,0.6736,0.0,0.0,[],0.0,0.0,0.0
-0.7742,0.2022,-0.0308,0.0,0.0,[],0.0,0.0,0.0
-0.2896,-0.0709,-0.0159,0.0,0.0,[],0.0,0.0,0.0
-0.2416,-0.2279,-0.1119,0.0,0.0,[],0.0,0.0,0.0
-0.661,-0.0379,-0.4119,0.0,0.0,[],0.0,0.0,0.0
-0.7341,0.2008,-0.062,0.0,0.0,[],0.0,0.0,0.0
-0.4068,-0.1952,-0.5972,0.0,0.0,[],0.0,0.0,0.0
0.4169,-0.0279,0.1649,0.0,0.0,[],0.0,0.0,0.0
-0.3467,-0.0279,-0.5331,0.0,0.0,[],0.0,0.0,0.0
-0.0659,-0.0379,0.0838,0.0,0.0,[],0.0,0.0,0.0
-0.3284,-0.0279,-0.5626,0.0,0.0,[],0.0,0.0,0.0
-0.0291,0.0619,0.7216,0.0,0.0,[],0.0,0.0,0.0
-0.7631,0.2008,-0.7082,0.0,0.0,[],0.0,0.0,0.0
-0.5677,-0.0379,0.6743,0.0,0.0,[],0.0,0.0,0.0
0.4353,-0.2279,0.1588,0.0,0.0,[],0.0,0.0,0.0
-0.1674,0.2008,-0.1422,0.0,0.0,[],0.0,0.0,0.0
0.0613,-0.0279,0.6406,0.0,0.0,[],0.0,0.0,0.0
-0.4718,-0.2279,0.4554,0.0,0.0,[],0.0,0.0,0.0
0.6489,-0.0363,0.7216,1.0220961281708947,0.0604886181367088,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.07692307692307693,-0.005815713555880952
-0.1121,0.2279,-0.3862,0.0,0.0,[],0.0,0.0,0.0
0.6123,0.2279,0.4786,0.0,0.0,[],0.0,0.0,0.0
-0.5351,-0.0379,0.1166,0.0,0.0,[],0.0,0.0,0.0
0.292,0.2279,-0.6623,0.0,0.0,[],0.0,0.0,0.0
-0.6877,-0.0379,-0.5187,0.0,0.0,[],0.0,0.0,0.0
0.4646,-0.0908,0.7216,0.0,0.0,[],0.0,0.0,0.0
0.4876,0.0864,0.5781,0.0,0.0,[],0.0,0.0,0.0
0.2703,0.2279,-0.5426,0.0,0.0,[],0.0,0.0,0.0
0.0847,-0.0379,0.1187,0.0,0.0,[],0.0,0.0,0.0
0.2028,0.2008,0.1561,0.0,0.0,[],0.0,0.0,0.0
0.0205,0.1897,-0.3516,0.0,0.0,[],0.0,0.0,0.0
0.5701,-0.2279,0.2449,0.0,0.0,[],0.0,0.0,0.0
0.0789,-0.0279,0.4793,0.0,0.0,[],0.0,0.0,0.0
0.5473,-0.0279,0.5239,0.0,0.0,[],0.0,0.0,0.0
-0.1585,-0.0379,-0.3754,0.0,0.0,[],0.0,0.0,0.0
-0.5195,-0.1006,0.7216,0.0,0.0,[],0.0,0.0,0.0
-0.7405,0.2008,-0.5153,0.0,0.0,[],0.0,0.0,0.0
-0.5498,-0.2279,-0.3,0.0,0.0,[],0.0,0.0,0.0
-0.3401,0.2008,0.0821,0.0,0.0,[],0.0,0.0,0.0
-0.1478,-0.0379,-0.219,0.0,0.0,[],0.0,0.0,0.0
-0.6508,-0.2279,-0.1113,0.0,0.0,[],0.0,0.0,0.0
-0.1954,-0.0279,0.0899,0.0,0.0,[],0.0,0.0,0.0
-0.1855,-0.2279,-0.0041,0.0,0.0,[],0.0,0.0,0.0
-0.3353,-0.2248,-0.5972,0.0,0.0,[],0.0,0.0,0.0
-0.4738,0.1391,0.1687,0.0,0.0,[],0.0,0.0,0.0
0.6496,0.2008,0.2329,0.0,0.0,[],0.0,0.0,0.0
-0.5408,-0.0379,0.1847,0.0,0.0,[],0.0,0.0,0.0
-0.3194,-0.0379,0.2128,0.0,0.0,[],0.0,0.0,0.0
0.4139,0.2008,0.2903,0.0,0.0,[],0.0,0.0,0.0
-0.5842,-0.0279,0.0396,0.0,0.0,[],0.0,0.0,0.0
0.1028,-0.0379,0.3193,0.0,0.0,[],0.0,0.0,0.0
0.6545,-0.1528,0.5781,0.0,0.0,[],0.0,0.0,0.0
0.7744,0.1489,0.502,0.0,0.0,[],0.0,0.0,0.0
0.3551,0.1872,0.7191,0.0,0.0,[],0.0,0.0,0.0
-0.2377,-0.0279,0.0246,0.0,0.0,[],0.0,0.0,0.0
0.6431,-0.0379,0.6592,0.25100133511348466,0.014854497040952586,['Rejection'],-1.0,-0.02564102564102564,-0.00047606476759872796
-0.2667,-0.1591,-0.0159,0.0,0.0,[],0.0,0.0,0.0
-0.6082,0.2279,0.3139,0.0,0.0,[],0.0,0.0,0.0
0.6361,0.0245,0.5508,0.0,0.0,[],0.0,0.0,0.0
