x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
-0.4475,-0.005,0.6311,0.0,0.0,[],0.0,0.0,0.0
-0.3232,-0.005,0.2129,0.0,0.0,[],0.0,0.0,0.0
0.5047,-0.1398,0.1601,0.0,0.0,[],0.0,0.0,0.0
0.0002,0.1931,0.0817,0.0,0.0,[],0.0,0.0,0.0
-0.2073,0.005,0.102,0.0,0.0,[],0.0,0.0,0.0
-0.1635,-0.205,0.5484,0.0,0.0,[],0.0,0.0,0.0
0.5271,-0.005,0.6415,0.0,0.0,[],0.0,0.0,0.0
0.1241,-0.005,0.5314,0.0,0.0,[],0.0,0.0,0.0
-0.4047,0.205,0.4095,0.0,0.0,[],0.0,0.0,0.0
-0.1522,-0.1322,-0.3555,0.0,0.0,[],0.0,0.0,0.0
-0.2429,-0.005,0.6698,0.0,0.0,[],0.0,0.0,0.0
0.4942,-0.205,0.6448,0.0,0.0,[],0.0,0.0,0.0
-0.1467,0.195,0.4724,0.0,0.0,[],0.0,0.0,0.0
0.1441,0.005,0.6544,0.0,0.0,[],0.0,0.0,0.0
-0.1623,0.195,0.3121,0.0,0.0,[],0.0,0.0,0.0
-0.0417,0.005,0.4052,0.0,0.0,[],0.0,0.0,0.0
-0.0213,-0.0204,-0.5453,0.0,0.0,[],0.0,0.0,0.0
0.0572,-0.005,0.377,0.0,0.0,[],0.0,0.0,0.0
0.1651,0.195,0.3762,0.0,0.0,[],0.0,0.0,0.0
-0.335,-0.005,0.517,0.0,0.0,[],0.0,0.0,0.0
0.1318,-0.205,0.1924,0.0,0.0,[],0.0,0.0,0.0
0.4168,0.005,0.2394,0.0,0.0,[],0.0,0.0,0.0
-0.1813,-0.205,0.1316,0.0,0.0,[],0.0,0.0,0.0
0.002,-0.1755,0.0829,0.0,0.0,[],0.0,0.0,0.0
0.3067,-0.205,0.6688,0.0,0.0,[],0.0,0.0,0.0
0.5884,0.1208,0.221,0.0,0.0,[],0.0,0.0,0.0
0.3042,0.195,0.0818,0.0,0.0,[],0.0,0.0,0.0
-0.4949,0.205,0.3733,0.0,0.0,[],0.0,0.0,0.0
-0.355,0.005,0.5541,0.0,0.0,[],0.0,0.0,0.0
-0.2144,0.005,0.4787,0.0,0.0,[],0.0,0.0,0.0
0.1023,-0.0591,0.4653,0.0,0.0,[],0.0,0.0,0.0
-0.1129,-0.005,0.2315,0.0,0.0,[],0.0,0.0,0.0
-0.1402,0.015,-0.0438,0.0,0.0,[],0.0,0.0,0.0
-0.2978,0.195,-0.0669,0.0,0.0,[],0.0,0.0,0.0
-0.3294,0.005,0.4218,0.0,0.0,[],0.0,0.0,0.0
-0.1273,0.195,0.0028,0.0,0.0,[],0.0,0.0,0.0
-0.0634,0.205,0.5093,0.0,0.0,[],0.0,0.0,0.0
-0.4194,-0.005,0.3282,0.0,0.0,[],0.0,0.0,0.0
0.395,-0.005,0.3782,0.0,0.0,[],0.0,0.0,0.0
-0.0825,-0.005,0.5413,0.0,0.0,[],0.0,0.0,0.0
-0.2643,0.005,0.3496,0.0,0.0,[],0.0,0.0,0.0
0.5089,-0.005,0.3725,0.0,0.0,[],0.0,0.0,0.0
-0.0482,0.1089,0.0483,0.0,0.0,[],0.0,0.0,0.0
-0.2086,0.195,0.512,0.0,0.0,[],0.0,0.0,0.0
0.1387,-0.0503,0.1773,0.0,0.0,[],0.0,0.0,0.0
-0.0535,0.1917,0.6493,0.0,0.0,[],0.0,0.0,0.0
0.2734,0.205,0.2054,0.0,0.0,[],0.0,0.0,0.0
0.1496,-0.005,0.4812,4.546904315196998,0.16098176624929422,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-17.0,-0.16346153846153846,-0.026314327175365405
0.0587,0.005,0.375,0.0,0.0,[],0.0,0.0,0.0
-0.2319,0.005,0.0393,0.0,0.0,[],0.0,0.0,0.0
0.3622,-0.005,0.0672,0.0,0.0,[],0.0,0.0,0.0
-0.427,0.195,0.145,0.0,0.0,[],0.0,0.0,0.0
-0.1423,0.005,0.6308,0.0,0.0,[],0.0,0.0,0.0
-0.1974,0.005,-0.0809,0.0,0.0,[],0.0,0.0,0.0
0.0881,0.005,-0.2506,0.5408067542213884,0.019147098874090804,"['Rejection', 'Rejection']",-2.0,-0.019230769230769232,-0.00036821343988636165
0.129,0.005,0.3784,2.963883677298311,0.10493540137500414,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-11.0,-0.10576923076923077,-0.011098936683894669
0.3057,0.205,0.1018,0.0,0.0,[],0.0,0.0,0.0
-0.0173,0.015,0.6105,0.0,0.0,[],0.0,0.0,0.0
-0.3322,0.195,0.0238,0.0,0.0,[],0.0,0.0,0.0
0.3681,-0.205,0.3212,0.0,0.0,[],0.0,0.0,0.0
-0.5856,-0.005,0.3619,2.3197310819262036,0.08212937438418191,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-8.0,-0.07692307692307693,-0.0063176441833986095
-0.1373,-0.205,0.1746,0.0,0.0,[],0.0,0.0,0.0
0.4852,-0.005,0.367,0.0,0.0,[],0.0,0.0,0.0
0.0085,0.195,0.1207,1.5900562851782363,0.05629545982928692,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-6.0,-0.057692307692307696,-0.003247814990151169
-0.3555,0.015,0.2507,0.0,0.0,[],0.0,0.0,0.0
-0.2846,0.015,0.0386,0.0,0.0,[],0.0,0.0,0.0
0.0645,-0.205,0.4149,0.0,0.0,[],0.0,0.0,0.0
