x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.6521,0.005,-0.4263,0.0,[],0.0,0.0
0.4575,-0.005,-0.4783,1.2009768882535143,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.006588598753698673
0.65,-0.0997,-0.11,0.0,[],0.0,0.0
-0.0121,0.205,-0.4655,0.0,[],0.0,0.0
-0.3318,-0.015,-0.4015,0.0,[],0.0,0.0
-0.1749,0.215,0.3,0.2516082916368835,['Attention'],1.0,0.0003450828431656482
-0.6587,-0.102,-0.4066,0.0,[],0.0,0.0
-0.1377,0.205,0.0935,1.3041458184417443,"['Attention', 'Attention', 'Attention']",3.0,0.005365940176327203
-0.0939,0.215,-0.6326,0.0,[],0.0,0.0
-0.5947,0.205,-0.3893,0.0,[],0.0,0.0
-0.1899,0.005,-0.6544,0.0,[],0.0,0.0
0.014,0.005,-0.4671,0.2655468191565404,['Attention'],1.0,0.00036419964839783613
-0.3924,0.0204,-0.0905,0.0,[],0.0,0.0
-0.2779,-0.065,0.5034,0.0,[],0.0,0.0
-0.208,0.215,0.1686,0.0,[],0.0,0.0
0.0596,0.205,-0.1171,0.43489397188467954,['Attention'],1.0,0.0005964606623940335
-0.5772,-0.015,-0.4651,0.0,[],0.0,0.0
0.1067,-0.005,-0.3992,0.0,[],0.0,0.0
0.4755,-0.015,-0.2861,0.251072194424589,['Attention'],1.0,0.0003443475814259487
0.068,0.005,-0.2605,0.0,[],0.0,0.0
0.66,-0.0926,-0.3509,0.0,[],0.0,0.0
-0.5942,0.205,-0.1151,0.0,[],0.0,0.0
0.3673,-0.015,-0.2822,0.43167738861091254,['Attention'],1.0,0.0005920490919558363
-0.6472,-0.005,0.593,3.758339289969025,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",12.0,0.06185511928845617
-0.2779,-0.0943,0.1907,0.0,[],0.0,0.0
0.06,0.005,-0.0386,0.0,[],0.0,0.0
-0.4378,-0.015,0.645,0.0,[],0.0,0.0
-0.4888,0.0924,-0.479,0.0,[],0.0,0.0
-0.2285,-0.015,0.3508,0.0,[],0.0,0.0
-0.0153,-0.005,-0.5636,3.3363116511794138,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",9.0,0.04118201004057093
0.0852,0.205,0.2488,0.0,[],0.0,0.0
-0.6068,0.005,-0.3201,0.0,[],0.0,0.0
-0.4485,-0.2122,0.5813,0.0,[],0.0,0.0
0.1878,0.215,0.1726,0.0,[],0.0,0.0
-0.2087,0.0605,-0.1159,0.0,[],0.0,0.0
-0.1336,0.1446,0.2944,0.5166190135811294,"['Attention', 'Attention']",2.0,0.0014170944596475696
-0.1868,-0.005,0.3297,0.43382177746009054,['Attention'],1.0,0.0005949901389146345
-0.2087,0.1427,0.0418,0.0,[],0.0,0.0
-0.6587,-0.0304,-0.3749,0.0,[],0.0,0.0
-0.5005,-0.015,0.4727,0.431141291398618,['Attention'],1.0,0.0005913138302161367
-0.1982,-0.005,0.7252,0.0,[],0.0,0.0
-0.0992,-0.015,-0.2304,0.0,[],0.0,0.0
0.3239,-0.015,-0.3722,0.0,[],0.0,0.0
-0.2515,-0.005,0.3136,0.0,[],0.0,0.0
-0.6115,0.205,-0.4052,0.0,[],0.0,0.0
0.0293,-0.0379,-0.479,0.0,[],0.0,0.0
0.4727,-0.005,-0.053,0.8676435549201811,"['Attention', 'Attention']",2.0,0.002379960555658538
-0.6587,-0.1023,-0.0278,0.0,[],0.0,0.0
0.2517,-0.015,-0.2289,0.26608291636883485,['Attention'],1.0,0.00036493491013753557
-0.0763,-0.015,-0.4221,0.0,[],0.0,0.0
0.1556,0.005,-0.454,0.5037526804860615,"['Attention', 'Attention']",2.0,0.001381801896141992
-0.5981,-0.015,0.1845,0.0,[],0.0,0.0
-0.1282,0.205,-0.3456,0.0,[],0.0,0.0
0.095,0.205,0.174,0.6848939718846795,"['Attention', 'Attention']",2.0,0.001878675440681166
0.1675,0.005,-0.2176,0.0,[],0.0,0.0
-0.1612,0.215,-0.3662,0.2516082916368835,['Attention'],1.0,0.0003450828431656482
-0.1588,-0.015,0.3782,0.0,[],0.0,0.0
-0.4915,0.1527,-0.479,0.0,[],0.0,0.0
-0.1574,0.005,-0.4007,0.0,[],0.0,0.0
-0.417,0.205,-0.3705,0.0,[],0.0,0.0
-0.1701,-0.005,0.5575,1.1171074577078866,"['Attention', 'Attention', 'Attention']",3.0,0.004596366222108356
-0.4803,-0.015,0.3868,0.0,[],0.0,0.0
-0.4338,0.215,-0.1,0.0,[],0.0,0.0
-0.6587,-0.1614,0.4424,0.0,[],0.0,0.0
-0.1693,-0.005,-0.2134,0.0,[],0.0,0.0
-0.1522,0.205,-0.3353,0.0,[],0.0,0.0
-0.3525,-0.015,0.4142,0.0,[],0.0,0.0
-0.6587,0.1742,-0.454,0.0,[],0.0,0.0
0.2142,0.215,-0.4892,0.0,[],0.0,0.0
-0.1679,-0.015,0.5881,0.0,[],0.0,0.0
0.2086,0.005,0.2585,0.0,[],0.0,0.0
-0.2308,0.1417,-0.479,0.0,[],0.0,0.0
-0.0263,0.215,-0.0421,0.0,[],0.0,0.0
-0.3863,0.0655,-0.0905,0.0,[],0.0,0.0
-0.4651,-0.015,0.0163,0.6042411246128186,['Attention'],1.0,0.0008287216763902309
0.3332,-0.1916,-0.479,0.0,[],0.0,0.0
0.0364,0.215,-0.727,0.0,[],0.0,0.0
-0.3571,-0.005,0.6346,0.25643316654753395,['Attention'],1.0,0.00035170019882294404
-0.0527,0.005,-0.0726,0.0,[],0.0,0.0
-0.6587,-0.1573,0.4372,0.0,[],0.0,0.0
0.1344,0.215,-0.5474,0.0,[],0.0,0.0
0.0715,0.005,-0.2615,0.0,[],0.0,0.0
-0.1817,0.1113,0.1281,0.25053609721229453,['Attention'],1.0,0.0003436123196862492
0.5313,-0.015,-0.4118,0.6822134858232071,"['Attention', 'Attention']",2.0,0.0018713228232841708
-0.4676,0.005,-0.093,5.658148677626876,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",12.0,0.09312236985642544
-0.5565,-0.005,-0.4101,0.0,[],0.0,0.0
-0.0699,-0.005,-0.2411,0.0,[],0.0,0.0
0.2383,0.215,-0.0233,0.936502263521563,"['Attention', 'Attention', 'Attention']",3.0,0.0038532616905186936
0.1207,0.0557,-0.479,3.6308077197998565,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",12.0,0.05975619210886056
-0.0454,0.215,-0.438,0.0,[],0.0,0.0
-0.2438,-0.005,-0.0955,0.0,[],0.0,0.0
-0.6487,-0.0332,0.6269,0.6859661663092685,"['Attention', 'Attention']",2.0,0.0018816164876399645
-0.43,-0.005,-0.2342,0.0,[],0.0,0.0
-0.1049,-0.005,0.256,1.1278294019537765,"['Attention', 'Attention', 'Attention']",3.0,0.004640481926490328
-0.2303,-0.005,0.5434,0.0,[],0.0,0.0
-0.5422,-0.015,0.5035,0.0,[],0.0,0.0
-0.5961,-0.015,-0.4196,0.0,[],0.0,0.0
0.1608,0.005,-0.3331,0.0,[],0.0,0.0
-0.0169,0.0191,0.1281,0.0,[],0.0,0.0
-0.1779,0.005,-0.6823,0.0,[],0.0,0.0
-0.6587,-0.1938,-0.0224,0.0,[],0.0,0.0
0.3524,-0.068,-0.3624,0.0,[],0.0,0.0
-0.6341,0.205,-0.3338,0.0,[],0.0,0.0
0.1369,0.205,-0.0693,0.686502263521563,"['Attention', 'Attention']",2.0,0.0018830870111193633
-0.0701,0.1045,0.3044,4.4317369549678345,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",15.0,0.0911724557227423
0.1092,0.005,-0.5048,0.0,[],0.0,0.0
-0.6587,-0.1585,0.1354,0.0,[],0.0,0.0
-0.0489,-0.005,-0.3327,0.0,[],0.0,0.0
-0.6286,0.205,-0.1832,0.0,[],0.0,0.0
-0.0579,0.005,-0.4245,0.0,[],0.0,0.0
0.0174,0.215,-0.6566,0.0,[],0.0,0.0
0.0931,0.205,-0.2835,0.0,[],0.0,0.0
0.0349,0.205,-0.3126,0.43382177746009054,['Attention'],1.0,0.0005949901389146345
0.0017,-0.005,0.0349,0.0,[],0.0,0.0
-0.4279,0.215,-0.2512,0.0,[],0.0,0.0
-0.6423,0.215,-0.3407,0.0,[],0.0,0.0
-0.4427,-0.015,-0.1604,0.0,[],0.0,0.0
-0.6086,0.0239,-0.0905,0.0,[],0.0,0.0
-0.3857,-0.005,0.1638,0.0,[],0.0,0.0
-0.4679,-0.015,-0.4757,0.0,[],0.0,0.0
-0.0025,-0.005,0.2511,0.251072194424589,['Attention'],1.0,0.0003443475814259487
-0.2779,-0.0733,0.0521,1.4692041934715272,"['Attention', 'Attention', 'Attention']",3.0,0.006045076936563006
0.0578,-0.005,-0.4106,0.0,[],0.0,0.0
0.418,-0.015,-0.1382,0.9531212771026925,"['Attention', 'Attention', 'Attention']",3.0,0.003921641032310751
-0.0431,-0.015,-0.4478,0.0,[],0.0,0.0
-0.4293,0.0482,-0.0905,0.695079818918275,"['Attention', 'Attention']",2.0,0.0019066153867897484
0.1364,0.005,-0.7052,0.2516082916368835,['Attention'],1.0,0.0003450828431656482
-0.5468,0.215,-0.3245,0.0,[],0.0,0.0
-0.5371,0.005,-0.2178,0.0,[],0.0,0.0
0.2577,-0.015,-0.3346,0.5228139147009769,['Attention'],1.0,0.0007170435877047573
0.161,0.205,-0.4833,0.0,[],0.0,0.0
-0.1722,-0.0994,-0.0753,0.25053609721229453,['Attention'],1.0,0.0003436123196862492
-0.635,-0.005,0.1771,0.0,[],0.0,0.0
-0.1036,0.0219,0.3044,0.0,[],0.0,0.0
-0.1952,-0.015,0.4379,0.2666190135811294,['Attention'],1.0,0.00036567017187723517
-0.423,-0.015,0.6961,0.0,[],0.0,0.0
0.3649,-0.0116,-0.1623,0.252144388849178,['Attention'],1.0,0.00034581810490534777
-0.0853,0.205,-0.4289,0.0,[],0.0,0.0
-0.4542,0.215,-0.3433,0.0,[],0.0,0.0
-0.0648,0.205,0.0349,0.0,[],0.0,0.0
-0.1141,0.215,0.2949,0.6811412913986181,"['Attention', 'Attention']",2.0,0.001868381776325373
-0.3584,-0.005,-0.1425,0.0,[],0.0,0.0
-0.5611,0.005,-0.1329,0.0,[],0.0,0.0
0.6403,-0.015,-0.4668,0.2516082916368835,['Attention'],1.0,0.0003450828431656482
0.0614,-0.015,-0.2485,0.0,[],0.0,0.0
0.1689,-0.005,-0.1542,0.0,[],0.0,0.0
-0.5061,0.1581,-0.479,0.0,[],0.0,0.0
-0.4595,0.215,-0.115,0.0,[],0.0,0.0
0.1855,-0.005,-0.6408,0.0,[],0.0,0.0
0.1774,0.205,0.0999,1.4391827495830354,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.00986925494048914
-0.4443,-0.015,0.4431,0.0,[],0.0,0.0
-0.4795,-0.005,-0.094,2.139087443411961,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.02053643226004999
-0.2779,-0.0912,0.5805,0.0,[],0.0,0.0
-0.4681,0.1038,-0.0905,0.0,[],0.0,0.0
-0.2128,0.005,-0.322,0.0,[],0.0,0.0
0.1598,0.0835,0.3044,1.3928401238980224,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.007641166781952985
-0.0934,0.215,-0.1717,0.5187634024303074,"['Attention', 'Attention']",2.0,0.001422976553565166
-0.4961,-0.0199,-0.479,0.0,[],0.0,0.0
0.1809,0.205,-0.2374,0.0,[],0.0,0.0
0.5535,-0.015,-0.1049,0.0,[],0.0,0.0
0.0094,0.1856,-0.479,0.43328568024779607,['Attention'],1.0,0.0005942548771749349
-0.5763,0.0489,-0.0905,0.6838217774600905,"['Attention', 'Attention']",2.0,0.001875734393722368
-0.43,-0.005,-0.0629,0.6848939718846796,"['Attention', 'Attention']",2.0,0.0018786754406811663
0.1453,0.215,-0.6435,0.0,[],0.0,0.0
-0.4522,-0.1247,-0.479,0.0,[],0.0,0.0
-0.3211,0.205,-0.145,0.0,[],0.0,0.0
0.1865,0.215,-0.1675,0.8633547772218251,"['Attention', 'Attention']",2.0,0.002368196367823345
0.118,0.005,-0.412,0.0,[],0.0,0.0
0.1813,0.1194,-0.2232,1.1977603049797474,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.006570952471945885
-0.4937,-0.005,-0.0701,0.4327495830355016,['Attention'],1.0,0.0005935196154352355
0.4612,-0.015,-0.0828,0.6004884441267572,['Attention'],1.0,0.0008235748442123341
0.1911,-0.015,-0.0351,0.0,[],0.0,0.0
-0.0554,0.215,0.1067,1.054145818441744,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.005783078669983405
0.0014,0.215,-0.507,0.8671074577078866,"['Attention', 'Attention']",2.0,0.0023784900321791387
0.1476,0.205,-0.0906,0.0,[],0.0,0.0
0.1976,-0.005,-0.1406,0.251072194424589,['Attention'],1.0,0.0003443475814259487
0.5475,-0.005,-0.4402,0.0,[],0.0,0.0
-0.3002,0.205,-0.1346,0.0,[],0.0,0.0
0.1073,-0.005,-0.0965,0.0,[],0.0,0.0
-0.5467,0.215,-0.258,0.0,[],0.0,0.0
-0.3974,0.005,-0.437,0.0,[],0.0,0.0
0.2413,-0.002,-0.4655,0.2516082916368835,['Attention'],1.0,0.0003450828431656482
-0.4315,0.215,-0.2371,0.0,[],0.0,0.0
-0.4143,0.005,-0.2126,0.0,[],0.0,0.0
0.0562,0.215,-0.6156,0.0,[],0.0,0.0
-0.6587,-0.2147,-0.0812,0.0,[],0.0,0.0
-0.4914,-0.015,0.5047,0.0,[],0.0,0.0
-0.0137,-0.1496,-0.479,0.0,[],0.0,0.0
-0.0593,0.215,-0.7208,0.0,[],0.0,0.0
0.145,0.215,-0.6148,0.0,[],0.0,0.0
-0.309,0.205,-0.2086,0.0,[],0.0,0.0
-0.6104,-0.015,0.6784,0.0,[],0.0,0.0
-0.1193,0.005,-0.1441,0.0,[],0.0,0.0
-0.3806,0.205,-0.3705,0.0,[],0.0,0.0
-0.6454,0.005,-0.2623,0.0,[],0.0,0.0
-0.6132,-0.005,0.2749,0.0,[],0.0,0.0
-0.5659,-0.005,-0.0836,0.0,[],0.0,0.0
0.015,0.005,-0.3878,0.0,[],0.0,0.0
-0.4119,0.005,-0.2565,0.0,[],0.0,0.0
0.0185,-0.0664,-0.479,0.0,[],0.0,0.0
-0.0608,-0.005,-0.1183,0.754288777698356,"['Attention', 'Attention', 'Attention']",3.0,0.0031035398032717354
0.0216,0.205,0.0448,0.0,[],0.0,0.0
-0.111,0.005,0.0976,3.434655706456993,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",8.0,0.03768526859805766
-0.0691,0.205,-0.4795,0.0,[],0.0,0.0
0.2056,0.205,-0.4178,0.0,[],0.0,0.0
0.1011,0.205,-0.3757,0.0,[],0.0,0.0
0.66,-0.2143,0.002,0.0,[],0.0,0.0
0.1747,0.205,-0.6857,0.0,[],0.0,0.0
-0.6509,-0.015,-0.4356,0.0,[],0.0,0.0
-0.195,0.205,-0.037,2.075589706933524,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.017080130213220187
-0.4637,-0.015,0.4348,0.0,[],0.0,0.0
-0.1092,0.205,-0.7071,0.0,[],0.0,0.0
-0.6587,-0.1021,0.4051,0.0,[],0.0,0.0
-0.0169,-0.005,-0.4651,0.0,[],0.0,0.0
0.0157,0.215,0.0347,0.0,[],0.0,0.0
-0.5215,0.0099,-0.479,0.0,[],0.0,0.0
-0.5075,0.215,-0.2748,0.0,[],0.0,0.0
-0.5391,-0.005,-0.1478,0.0,[],0.0,0.0
-0.6274,-0.015,-0.0366,0.0,[],0.0,0.0
0.3524,-0.1734,-0.143,0.0,[],0.0,0.0
0.0443,0.205,-0.6844,0.0,[],0.0,0.0
-0.5964,0.215,-0.2335,0.0,[],0.0,0.0
-0.4338,0.005,-0.184,0.0,[],0.0,0.0
-0.5256,0.005,-0.1962,0.0,[],0.0,0.0
-0.6587,-0.1063,0.5298,0.0,[],0.0,0.0
0.067,-0.005,-0.1164,0.26876340243030733,['Attention'],1.0,0.0003686112188360333
-0.1948,-0.005,0.2112,1.117643554920181,"['Attention', 'Attention', 'Attention']",3.0,0.004598572007327455
-0.431,0.005,-0.2312,0.0,[],0.0,0.0
-0.176,-0.015,0.3347,0.43382177746009054,['Attention'],1.0,0.0005949901389146345
-0.3298,-0.005,-0.4752,0.0,[],0.0,0.0
0.3524,-0.0273,-0.4017,0.0,[],0.0,0.0
0.1143,0.205,-0.0022,0.0,[],0.0,0.0
-0.154,0.205,0.2228,0.0,[],0.0,0.0
-0.2759,-0.015,0.7202,0.0,[],0.0,0.0
0.059,-0.005,-0.6119,0.0,[],0.0,0.0
0.0985,0.205,-0.4099,0.2628663330950679,['Attention'],1.0,0.00036052333969933845
-0.634,-0.005,-0.3639,0.0,[],0.0,0.0
0.0052,-0.005,0.0317,0.43382177746009054,['Attention'],1.0,0.0005949901389146345
0.1748,0.205,0.056,1.8389921372408864,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.01261096427207985
0.0488,0.205,-0.0866,0.5171551107934239,"['Attention', 'Attention']",2.0,0.0014185649831269687
-0.3555,-0.0107,0.3139,0.6224684298308315,['Attention'],1.0,0.000853720575540015
-0.2639,-0.015,0.6372,0.4327495830355016,['Attention'],1.0,0.0005935196154352355
