x,y,z,SaliencyScore,NormalizedScore
0.184,0.23,-0.2621,0.0,0.0
0.9231,-0.1579,0.2946,0.0,0.0
0.4072,-0.23,0.3679,0.0,0.0
-0.2194,0.23,0.4017,0.0,0.0
-0.109,0.2,0.4114,0.0,0.0
-0.7518,-0.0376,0.5119,0.0,0.0
0.7892,-0.03,0.1191,0.0,0.0
-0.1497,0.23,0.4342,0.0,0.0
-0.5887,-0.1295,0.5119,0.0,0.0
0.3739,-0.03,-0.3864,0.0,0.0
0.9231,-0.1705,0.0877,0.0,0.0
0.5416,0.0,-0.5133,0.0,0.0
-0.6533,-0.03,0.5158,0.0,0.0
0.169,-0.03,0.5119,0.0,0.0
-0.3563,-0.03,0.5361,0.0,0.0
0.1247,-0.23,-0.1439,0.0,0.0
0.1008,0.0,0.1336,0.0,0.0
-0.308,-0.23,0.261,0.0,0.0
0.2625,0.23,-0.1061,0.0,0.0
0.4124,0.23,-0.0639,0.0,0.0
-0.0426,0.1654,-0.4095,0.0,0.0
0.5189,-0.03,0.4748,0.0,0.0
-0.8261,-0.03,0.35,0.0,0.0
0.8812,0.0,0.4499,0.0,0.0
-0.5385,-0.23,-0.0936,0.0,0.0
0.2259,0.0,0.3444,0.0,0.0
-0.6227,-0.23,0.1646,0.0,0.0
0.1437,0.1996,0.4095,0.0,0.0
0.1775,-0.03,0.4677,0.0,0.0
-0.406,-0.03,0.182,0.0,0.0
-0.4037,0.0,-0.0374,0.0,0.0
-0.2163,-0.23,-0.3295,0.0,0.0
-0.4663,0.0,0.2315,0.0,0.0
-0.7475,-0.1613,0.5119,0.0,0.0
-0.7844,-0.03,0.302,0.0,0.0
0.8586,-0.03,-0.3284,0.0,0.0
-0.593,0.23,-0.2381,0.3130170740841618,0.031853948618095186
-0.6646,0.0,0.0273,0.0,0.0
0.5908,0.0,-0.5152,0.0,0.0
0.6327,-0.03,0.0865,0.0,0.0
0.078,0.23,0.0434,0.0,0.0
-0.5158,-0.23,-0.1337,0.0,0.0
-0.0064,0.0,0.0311,0.0,0.0
0.5777,0.0562,-0.4095,0.6893384856325753,0.07015001582920569
-0.7707,-0.03,0.4831,0.0,0.0
-0.3833,0.095,0.4095,0.0,0.0
0.4901,-0.179,-0.5119,0.0,0.0
0.904,-0.23,-0.0988,0.0,0.0
-0.5665,-0.03,-0.2333,0.0,0.0
0.258,-0.23,0.3411,0.0,0.0
-0.9231,-0.1355,-0.0621,0.0,0.0
0.7801,0.0,-0.1447,0.0,0.0
-0.1987,-0.23,0.1533,0.0,0.0
-0.3522,-0.03,-0.3793,0.0,0.0
0.9231,-0.1053,-0.2296,0.0,0.0
-0.7775,-0.03,-0.4479,0.0,0.0
-0.0557,-0.23,0.1557,0.0,0.0
0.9231,-0.1762,-0.0656,0.0,0.0
-0.3811,-0.03,-0.4886,0.0,0.0
0.4213,-0.1797,-0.5119,0.0,0.0
0.0265,0.0,0.0758,0.0,0.0
-0.7385,0.1322,-0.1192,0.0,0.0
0.2106,-0.23,0.3056,0.0,0.0
-0.1204,0.0,-0.2428,0.0,0.0
-0.8721,-0.03,0.1435,0.0,0.0
-0.431,0.0619,0.4095,0.0,0.0
-0.3323,0.0,0.0654,0.0,0.0
0.0752,-0.03,-0.1969,0.0,0.0
0.8912,-0.03,0.3923,0.0,0.0
0.5893,-0.03,-0.4035,0.0,0.0
