x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.7346,-0.2,0.8739,0.0,[],0.0,0.0
-0.5633,0.1073,0.6927,0.0,[],0.0,0.0
0.5586,0.0,-0.4372,4.96709323583181,"['Attention', 'Rejection', 'Rejection', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Rejection', 'Rejection']",9.0,0.3359227450028707
-0.4633,0.0,0.2803,0.0,[],0.0,0.0
0.0511,0.0,-0.6446,0.0,[],0.0,0.0
0.3966,-0.1795,-0.892,0.0,[],0.0,0.0
-0.6132,0.0,-0.2644,0.0,[],0.0,0.0
-0.6435,0.0,-0.0594,0.0,[],0.0,0.0
-0.7822,-0.2,0.5734,0.0,[],0.0,0.0
-0.1264,0.0,-0.3707,0.0,[],0.0,0.0
-0.4995,-0.2,-0.4444,0.0,[],0.0,0.0
0.6227,0.2,-0.3741,1.653403591784063,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.12174019071069626
0.5939,-0.173,-0.392,0.0,[],0.0,0.0
-0.3927,-0.2,0.3395,0.0,[],0.0,0.0
-0.8511,0.0242,0.892,0.0,[],0.0,0.0
-0.8264,0.189,0.0821,0.0,[],0.0,0.0
0.5196,0.0,-0.5786,0.573072373373481,"['Attention', 'Attention']",2.0,0.04193244035111603
-0.629,0.2,0.542,4.141735670502204,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Rejection', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Rejection']",0.0,0.2553207810733543
-0.0448,0.2,-0.1925,0.3575653296053339,['Attention'],1.0,0.025344871468567065
-0.7069,-0.2,0.7681,0.0,[],0.0,0.0
0.2357,-0.2,-0.6102,0.5517797612646521,"['Attention', 'Attention']",2.0,0.04061983935790515
-0.3288,0.0,-0.1319,0.0,[],0.0,0.0
-0.0195,0.2,-0.4342,0.0,[],0.0,0.0
0.4888,-0.0587,-0.892,0.0,[],0.0,0.0
-0.8572,-0.0756,0.8028,0.0,[],0.0,0.0
-0.2574,-0.1449,-0.0155,0.7469620389289171,"['Attention', 'Attention', 'Attention']",3.0,0.0559544709287528
0.0106,0.0,-0.3723,0.0,[],0.0,0.0
-0.4372,-0.2,-0.5088,0.0,[],0.0,0.0
-0.6575,0.2,0.7452,0.0,[],0.0,0.0
0.5638,0.0,-0.0848,0.0,[],0.0,0.0
0.5761,-0.2,-0.6808,0.0,[],0.0,0.0
0.0251,0.0,-0.6732,0.0,[],0.0,0.0
-0.1784,0.2,-0.3421,0.0,[],0.0,0.0
-0.5478,0.0,-0.1466,0.0,[],0.0,0.0
-0.3954,0.0,0.4985,0.0,[],0.0,0.0
0.1927,0.0,-0.6029,0.0,[],0.0,0.0
0.6482,0.0,-0.3359,0.0,[],0.0,0.0
-0.1798,0.2,-0.2892,0.0,[],0.0,0.0
0.0956,-0.1899,-0.3305,1.1944295085493064,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.0901438912795137
-0.8565,0.0943,0.3168,0.0,[],0.0,0.0
-0.3572,0.0749,0.892,0.0,[],0.0,0.0
0.3842,-0.1841,-0.8919,0.0,[],0.0,0.0
0.6493,0.174,-0.1665,0.3942359393483171,"['Neutral', 'Rejection']",-1.0,0.02100055046849012
