x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
0.3699,-0.0477,-0.2227,0.0,[],0.0,0.0011714596387098289
0.3721,0.1182,-0.2526,0.0,[],0.0,0.0011714596387098289
-0.165,-0.1539,0.4779,0.0,[],0.0,0.0011714596387098289
-0.1889,0.0302,0.5717,0.0,[],0.0,0.0011714596387098289
-0.1326,-0.2414,0.3977,0.0,[],0.0,0.0011714596387098289
-0.1664,0.1586,-0.2793,0.0,[],0.0,0.0011714596387098289
-0.0424,-0.2414,-0.4213,0.0,[],0.0,0.0011714596387098289
-0.0895,0.2214,-0.4497,0.0,[],0.0,0.0011714596387098289
-0.0005,-0.218,0.185,0.0,[],0.0,0.0011714596387098289
-0.2833,-0.2414,-0.1328,0.0,[],0.0,0.0011714596387098289
0.3062,-0.1792,0.534,0.18906685236768805,['Neutral'],0.0,0.016394427456610933
0.5159,-0.0842,-0.0726,0.0,[],0.0,0.0011714596387098289
-0.1113,0.0254,-0.5327,1.1049791086350975,"['Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.09014031483228101
0.2511,0.1586,-0.1882,0.0,[],0.0,0.0011714596387098289
0.0108,-0.0931,-0.3854,0.0,[],0.0,0.0011714596387098289
0.2081,-0.1816,-0.2455,0.0,[],0.0,0.0011714596387098289
-0.326,-0.0915,0.0601,0.0,[],0.0,0.0011714596387098289
0.4223,-0.1443,-0.2526,0.0,[],0.0,0.0011714596387098289
-0.5315,-0.1277,-0.0248,0.0,[],0.0,0.0011714596387098289
0.7369,-0.0445,-0.3097,0.0,[],0.0,0.0011714596387098289
0.0791,-0.0541,-0.2983,0.0,[],0.0,0.0011714596387098289
-0.2583,0.1804,0.216,0.3563718662952646,['Neutral'],0.0,0.02986521205421955
-0.4076,0.074,-0.0731,0.9096448467966574,"['Neutral', 'Neutral', 'Neutral']",0.0,0.07441271824693567
0.2001,-0.0658,-0.2477,0.0,[],0.0,0.0011714596387098289
0.2418,-0.2134,-0.0617,0.0,[],0.0,0.0011714596387098289
-0.1624,0.1886,-0.3742,0.0,[],0.0,0.0011714596387098289
0.1374,-0.1949,0.0141,0.0,[],0.0,0.0011714596387098289
0.1481,-0.1829,-0.2651,0.0,[],0.0,0.0011714596387098289
-0.1621,-0.2414,0.114,0.0,[],0.0,0.0011714596387098289
-0.1665,0.027,0.4645,0.0,[],0.0,0.0011714596387098289
0.1849,-0.186,-0.2837,0.7486072423398329,"['Neutral', 'Neutral', 'Neutral']",0.0,0.06144656241677129
0.325,-0.1449,0.5425,0.0,[],0.0,0.0011714596387098289
0.3401,0.1586,-0.1766,0.0,[],0.0,0.0011714596387098289
0.3624,-0.0169,-0.253,0.0,[],0.0,0.0011714596387098289
-0.0874,-0.1945,0.589,0.4204387186629527,"['Neutral', 'Neutral']",0.0,0.03502363945476063
-0.0621,0.1586,-0.2108,0.0,[],0.0,0.0011714596387098289
0.4173,-0.17,-0.2225,0.0,[],0.0,0.0011714596387098289
-0.0168,0.1762,-0.3701,0.0,[],0.0,0.0011714596387098289
0.0936,-0.2414,0.263,0.0,[],0.0,0.0011714596387098289
-0.1991,0.1886,0.219,0.3720403899721449,['Attention'],1.0,0.04838028183116162
-0.0238,0.1531,0.2308,0.0,[],0.0,0.0011714596387098289
-0.1596,-0.1532,0.5525,0.0,[],0.0,0.0011714596387098289
0.421,0.1097,-0.2525,0.0,[],0.0,0.0011714596387098289
-0.1764,0.1122,-0.5287,0.19220055710306408,['Neutral'],0.0,0.016646741840333053
-0.0503,0.1886,0.0216,0.0,[],0.0,0.0011714596387098289
-0.0189,-0.1731,0.2207,0.0,[],0.0,0.0011714596387098289
-0.1699,-0.2414,-0.1268,0.0,[],0.0,0.0011714596387098289
-0.2669,0.0087,0.1345,0.0,[],0.0,0.0011714596387098289
0.1615,-0.0825,0.5015,0.0,[],0.0,0.0011714596387098289
-0.0069,-0.2414,0.3843,0.0,[],0.0,0.0011714596387098289
-0.1292,-0.0722,0.4991,0.0,[],0.0,0.0011714596387098289
-0.5778,0.1886,-0.043,0.0,[],0.0,0.0011714596387098289
-0.2294,0.2414,0.2584,0.0,[],0.0,0.0011714596387098289
-0.1461,0.1878,0.6255,0.0,[],0.0,0.0011714596387098289
0.1465,0.0179,0.0064,0.0,[],0.0,0.0011714596387098289
0.4886,-0.0321,-0.2568,0.0,[],0.0,0.0011714596387098289
-0.2968,0.1041,0.0924,0.0,[],0.0,0.0011714596387098289
0.058,0.1624,0.1467,0.0,[],0.0,0.0011714596387098289
-0.411,0.1123,-0.0716,2.7647980501392757,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.22378283341042937
0.107,0.0176,-0.2834,0.0,[],0.0,0.0011714596387098289
-0.764,0.221,-0.0018,0.0,[],0.0,0.0011714596387098289
-0.1684,-0.1741,-0.5699,0.0,[],0.0,0.0011714596387098289
-0.453,-0.0164,-0.0118,0.0,[],0.0,0.0011714596387098289
-0.7896,-0.0533,0.0043,0.3579387186629527,['Neutral'],0.0,0.02999136924608061
-0.2156,-0.2288,0.3511,0.0,[],0.0,0.0011714596387098289
-0.7329,0.1162,-0.0086,0.0,[],0.0,0.0011714596387098289
0.316,-0.0972,-0.2563,0.4923398328690808,['Neutral'],0.0,0.04081285281460699
-0.1733,-0.1558,-0.5789,0.0,[],0.0,0.0011714596387098289
-0.1729,0.1886,-0.4839,0.0,[],0.0,0.0011714596387098289
0.2612,-0.0414,0.0562,0.0,[],0.0,0.0011714596387098289
0.1269,-0.1249,0.5371,0.24233983286908078,['Neutral'],0.0,0.020683771979886936
-0.1599,-0.2414,-0.3878,0.0,[],0.0,0.0011714596387098289
0.2262,-0.0442,-0.241,0.0,[],0.0,0.0011714596387098289
-0.0305,-0.1494,0.2444,0.0,[],0.0,0.0011714596387098289
-0.2735,0.0145,0.1839,0.0,[],0.0,0.0011714596387098289
-0.0888,-0.2348,0.3882,0.0,[],0.0,0.0011714596387098289
-0.2257,-0.1808,-0.7478,0.5987116991643455,"['Neutral', 'Neutral']",0.0,0.049377524395396666
0.0569,-0.0414,0.2288,2.1552924791086356,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",0.0,0.1747076857764775
0.4021,0.1741,-0.1151,0.0,[],0.0,0.0011714596387098289
-0.2854,-0.101,0.1069,0.0,[],0.0,0.0011714596387098289
0.027,0.1586,-0.0875,0.0,[],0.0,0.0011714596387098289
0.5934,-0.1339,-0.2414,0.0,[],0.0,0.0011714596387098289
-0.0571,-0.1873,0.3056,0.0,[],0.0,0.0011714596387098289
-0.2137,0.1586,-0.1493,0.0,[],0.0,0.0011714596387098289
0.5343,0.1586,-0.2065,0.0,[],0.0,0.0011714596387098289
-0.0858,-0.0593,-0.4451,0.0,[],0.0,0.0011714596387098289
0.0764,-0.1509,-0.3,0.0,[],0.0,0.0011714596387098289
0.247,-0.2224,0.5122,0.0,[],0.0,0.0011714596387098289
-0.1554,0.0746,-0.5473,0.19533426183844013,['Neutral'],0.0,0.01689905622405517
0.5244,0.0105,-0.2306,0.2345055710306407,['Neutral'],0.0,0.020052986020581642
-0.6153,-0.0755,-0.0247,0.0,[],0.0,0.0011714596387098289
0.2497,-0.1455,-0.2359,0.0,[],0.0,0.0011714596387098289
-0.2385,-0.0697,0.187,0.0,[],0.0,0.0011714596387098289
0.0077,-0.0409,-0.3485,0.0,[],0.0,0.0011714596387098289
0.4329,-0.1892,0.3933,0.0,[],0.0,0.0011714596387098289
-0.1774,-0.1,-0.4261,0.0,[],0.0,0.0011714596387098289
0.1157,-0.0126,0.5387,0.8332172701949861,"['Attention', 'Attention', 'Attention']",3.0,0.1200195443522629
0.1364,0.1886,-0.0601,0.5501392757660167,"['Neutral', 'Neutral']",0.0,0.04546665144770383
0.0619,-0.169,-0.3087,0.0,[],0.0,0.0011714596387098289
-0.212,0.1793,0.2527,0.19220055710306408,['Neutral'],0.0,0.016646741840333053
-0.1898,-0.2197,0.6864,0.0,[],0.0,0.0011714596387098289
0.3465,-0.0414,0.3014,0.1937674094707521,['Neutral'],0.0,0.01677289903219411
0.0477,-0.2146,0.1095,0.0,[],0.0,0.0011714596387098289
0.0641,-0.0372,-0.3074,0.0,[],0.0,0.0011714596387098289
0.0236,-0.0381,-0.3743,0.0,[],0.0,0.0011714596387098289
0.1769,-0.2414,-0.1578,0.0,[],0.0,0.0011714596387098289
-0.1201,-0.0736,0.5674,0.0,[],0.0,0.0011714596387098289
-0.078,0.1416,-0.4842,0.0,[],0.0,0.0011714596387098289
0.2761,-0.1737,0.5219,0.0,[],0.0,0.0011714596387098289
-0.1775,-0.0933,-0.5443,0.0,[],0.0,0.0011714596387098289
-0.1348,-0.0285,-0.5136,0.0,[],0.0,0.0011714596387098289
