x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
0.7399,-0.1327,0.4477,0.0,[],0.0,0.0
-0.3832,-0.1994,-0.5542,0.0,[],0.0,0.0
-0.001,-0.0475,-0.0146,0.0,[],0.0,0.0
-0.1119,-0.1026,0.2271,0.0,[],0.0,0.0
0.1681,-0.0399,-0.3909,0.0,[],0.0,0.0
0.6843,-0.1994,0.1754,0.0,[],0.0,0.0
-0.3611,0.1794,-0.1301,16.08373333333333,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",78.0,0.7034813300866521
-0.1606,-0.1994,0.1027,0.0,[],0.0,0.0
0.4582,0.0891,0.0609,0.0,[],0.0,0.0
0.0564,0.0758,-0.2427,0.8240000000000001,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.0018482397759143861
0.1161,-0.1951,-0.2617,1.3173333333333335,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.004432186647095664
-0.4012,-0.1096,0.7019,0.0,[],0.0,0.0
-0.1661,-0.1991,-0.6063,0.40693333333333337,['Attention'],1.0,0.00022818882670269845
-0.4096,0.0006,0.1804,0.0,[],0.0,0.0
0.0209,-0.0907,0.2521,0.0,[],0.0,0.0
0.2859,0.0179,-0.4326,0.0,[],0.0,0.0
-0.1845,-0.1994,-0.4207,0.21706666666666669,['Attention'],1.0,0.00012172064543643285
-0.6056,0.0006,0.4764,0.0,[],0.0,0.0
0.5453,-0.0094,0.46,0.20106666666666667,['Attention'],1.0,0.00011274860768927565
0.7087,-0.1994,0.4344,0.0,[],0.0,0.0
-0.1086,-0.1173,-0.6009,0.0,[],0.0,0.0
0.3212,-0.092,0.0273,0.0,[],0.0,0.0
0.4581,-0.1994,-0.3852,0.0,[],0.0,0.0
0.3441,-0.149,0.4714,0.0,[],0.0,0.0
-0.5804,-0.0763,0.6849,0.0,[],0.0,0.0
0.2932,-0.0471,-0.1092,0.0,[],0.0,0.0
-0.072,0.2006,-0.1614,0.0,[],0.0,0.0
-0.5384,0.1706,-0.1567,0.0,[],0.0,0.0
-0.4509,0.1986,0.3,0.21706666666666669,['Attention'],1.0,0.00012172064543643285
-0.5895,0.0006,0.2438,0.0,[],0.0,0.0
