x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.3677,0.0274,-0.5696,0.0,[],0.0,0.0
-0.2222,-0.2389,-0.0332,0.0,[],0.0,0.0
0.6269,-0.2285,-0.3132,0.0,[],0.0,0.0
0.6798,0.0174,0.5472,0.0,[],0.0,0.0
0.3741,-0.2285,-0.5392,0.0,[],0.0,0.0
-0.7191,-0.1004,-0.2403,0.0,[],0.0,0.0
-0.4091,0.0274,-0.3251,0.0,[],0.0,0.0
0.2483,0.0174,0.1495,0.0,[],0.0,0.0
0.493,-0.2435,-0.2868,0.0,[],0.0,0.0
-0.5185,0.2112,-0.3148,0.0,[],0.0,0.0
0.6017,-0.2252,-0.5106,0.5534557235421166,"['Attention', 'Attention']",2.0,0.0022894417201949307
0.2481,0.0274,-0.3177,0.0,[],0.0,0.0
0.6914,0.0324,0.5976,0.0,[],0.0,0.0
0.5484,-0.0339,-0.2226,0.0,[],0.0,0.0
0.5789,-0.2435,-0.2749,0.0,[],0.0,0.0
-0.5187,0.0934,-0.6458,0.0,[],0.0,0.0
0.0477,0.025,-0.6054,0.0,[],0.0,0.0
0.5041,0.0272,-0.6917,0.0,[],0.0,0.0
0.3513,0.0174,-0.5745,0.0,[],0.0,0.0
0.1831,0.0088,0.0425,0.0,[],0.0,0.0
0.4307,0.0174,-0.1212,0.8036717062634989,"['Attention', 'Attention']",2.0,0.0033244927378908635
0.08,0.2285,0.1682,0.0,[],0.0,0.0
0.1457,-0.2435,-0.134,0.0,[],0.0,0.0
0.468,-0.2285,0.0559,0.0,[],0.0,0.0
-0.0269,-0.2435,-0.3436,0.0,[],0.0,0.0
0.2615,0.0324,-0.0542,0.0,[],0.0,0.0
-0.6518,-0.2435,-0.1115,0.0,[],0.0,0.0
0.2789,0.2285,-0.4851,0.0,[],0.0,0.0
0.6509,0.2435,0.1393,0.0,[],0.0,0.0
0.554,0.0274,-0.6078,0.0,[],0.0,0.0
0.6018,0.0768,0.2546,0.0,[],0.0,0.0
-0.0725,0.2285,-0.6445,0.0,[],0.0,0.0
0.0478,0.24,0.1247,0.0,[],0.0,0.0
0.1925,-0.2285,0.2936,0.0,[],0.0,0.0
-0.7192,-0.1478,-0.4043,0.6085313174946004,"['Attention', 'Attention']",2.0,0.0025172690913753044
0.4448,-0.1289,-0.6214,0.0,[],0.0,0.0
0.2378,-0.2285,0.182,0.0,[],0.0,0.0
0.0636,-0.2435,-0.0165,0.0,[],0.0,0.0
0.4836,0.2285,0.2282,0.0,[],0.0,0.0
0.6492,0.2435,0.1907,0.0,[],0.0,0.0
0.3997,-0.2435,-0.1314,0.0,[],0.0,0.0
-0.4565,-0.2435,-0.0382,0.0,[],0.0,0.0
0.5219,0.0728,0.7044,0.2969762419006479,['Attention'],1.0,0.0006142404615157131
0.27,0.0324,-0.1371,0.2791576673866091,['Attention'],1.0,0.0005773860338247704
0.3681,0.0174,0.3064,0.0,[],0.0,0.0
-0.5185,0.2158,-0.4131,0.0,[],0.0,0.0
0.4043,0.2435,0.3623,0.0,[],0.0,0.0
0.6018,-0.1827,0.394,0.2759179265658747,['Attention'],1.0,0.0005706852287900534
0.4561,-0.2435,-0.3513,0.0,[],0.0,0.0
-0.6999,-0.2435,-0.4713,0.0,[],0.0,0.0
-0.6169,-0.0171,-0.6918,0.0,[],0.0,0.0
0.1945,0.2285,0.1597,0.0,[],0.0,0.0
0.5454,0.0174,0.0112,0.0,[],0.0,0.0
0.1831,0.0565,0.0127,0.5437365010799136,"['Attention', 'Attention']",2.0,0.0022492368899866295
0.7205,0.2348,0.2202,0.0,[],0.0,0.0
0.0746,-0.2435,-0.0302,0.0,[],0.0,0.0
0.1831,0.2283,0.2141,0.5259179265658747,"['Attention', 'Attention']",2.0,0.002175528034604744
-0.5185,0.1369,-0.3547,0.0,[],0.0,0.0
0.2466,-0.1831,-0.2227,0.0,[],0.0,0.0
0.0719,-0.2435,-0.3579,0.0,[],0.0,0.0
0.6853,-0.1532,-0.6214,0.27267818574514036,['Attention'],1.0,0.0005639844237553365
0.7204,0.0255,0.2266,1.0761339092872568,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.00890313628946048
0.1384,-0.1705,-0.6064,0.0,[],0.0,0.0
-0.5448,-0.1114,-0.6918,0.0,[],0.0,0.0
-0.7132,-0.2435,-0.6407,0.0,[],0.0,0.0
0.5357,-0.2285,-0.3194,0.0,[],0.0,0.0
-0.1049,0.2285,-0.6689,0.0,[],0.0,0.0
0.3788,0.2285,-0.3003,0.0,[],0.0,0.0
0.1113,0.0174,0.1186,0.5275377969762418,"['Attention', 'Attention']",2.0,0.0021822288396394604
0.546,0.2435,0.1607,0.0,[],0.0,0.0
-0.4766,0.2285,-0.6453,0.0,[],0.0,0.0
0.6194,-0.2435,-0.0767,0.0,[],0.0,0.0
0.1869,0.0174,-0.1888,0.0,[],0.0,0.0
-0.5187,0.1072,-0.6369,0.0,[],0.0,0.0
0.346,0.0324,0.1797,0.0,[],0.0,0.0
-0.7191,-0.2004,0.0936,0.0,[],0.0,0.0
0.5653,0.2201,0.6894,0.0,[],0.0,0.0
0.1626,0.2285,-0.5854,0.0,[],0.0,0.0
0.5806,-0.2285,0.0815,0.0,[],0.0,0.0
-0.4779,0.0176,0.2343,0.0,[],0.0,0.0
0.1513,0.2435,0.1211,0.0,[],0.0,0.0
-0.3892,0.0274,-0.0942,0.2823974082073434,['Attention'],1.0,0.0005840868388594872
-0.1302,0.0274,-0.2846,0.0,[],0.0,0.0
0.4926,0.0174,-0.1134,0.30183585313174943,['Attention'],1.0,0.0006242916690677884
0.7113,0.0324,0.1361,0.0,[],0.0,0.0
0.4686,0.2285,0.1327,0.0,[],0.0,0.0
0.3498,0.2285,0.2891,0.0,[],0.0,0.0
-0.6991,0.0274,-0.1339,0.25647948164146867,['Attention'],1.0,0.0005304803985817523
-0.3779,-0.2435,-0.4303,0.0,[],0.0,0.0
-0.1561,0.0177,-0.6918,0.0,[],0.0,0.0
0.3649,0.0324,-0.1163,0.0,[],0.0,0.0
0.6577,0.2435,0.4856,0.25647948164146867,['Attention'],1.0,0.0005304803985817523
0.4829,0.0384,-0.6917,0.0,[],0.0,0.0
0.6018,-0.1625,0.065,0.2791576673866091,['Attention'],1.0,0.0005773860338247704
-0.5929,0.0274,0.0906,0.0,[],0.0,0.0
-0.0682,0.0274,-0.352,0.0,[],0.0,0.0
-0.2223,-0.0727,0.0689,0.0,[],0.0,0.0
0.1621,0.1194,0.7044,0.0,[],0.0,0.0
0.6018,0.1196,-0.0146,0.2791576673866091,['Attention'],1.0,0.0005773860338247704
0.2039,0.1283,0.7044,0.0,[],0.0,0.0
0.5106,-0.2435,-0.3298,0.0,[],0.0,0.0
-0.7191,-0.1549,-0.1158,0.0,[],0.0,0.0
0.5374,-0.2285,-0.4995,0.0,[],0.0,0.0
-0.237,0.0174,-0.3726,0.0,[],0.0,0.0
-0.1926,-0.2435,-0.3802,0.0,[],0.0,0.0
0.2595,-0.2285,0.2293,0.0,[],0.0,0.0
0.5549,0.0324,0.4962,0.0,[],0.0,0.0
0.5255,0.0174,-0.4113,0.0,[],0.0,0.0
0.1695,-0.2435,-0.5632,0.0,[],0.0,0.0
0.495,0.0174,-0.6224,0.0,[],0.0,0.0
0.005,0.0174,-0.3906,0.0,[],0.0,0.0
-0.0255,0.2285,-0.5095,0.0,[],0.0,0.0
0.1469,0.0664,0.7044,0.0,[],0.0,0.0
0.1401,0.2435,0.2376,0.0,[],0.0,0.0
-0.2671,0.0174,-0.3996,0.0,[],0.0,0.0
0.1221,-0.1497,-0.6917,0.0,[],0.0,0.0
0.3457,-0.1164,-0.6214,0.0,[],0.0,0.0
0.3468,0.0274,-0.6417,0.0,[],0.0,0.0
-0.2057,-0.082,-0.6918,0.0,[],0.0,0.0
0.6771,-0.2435,-0.4239,0.0,[],0.0,0.0
-0.183,-0.2435,-0.5542,0.0,[],0.0,0.0
