x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
0.4709,-0.0667,0.0539,0.0,0.0,[],0.0,0.0,0.0
0.0208,-0.005,0.6141,0.0,0.0,[],0.0,0.0,0.0
-0.477,-0.0362,-0.0407,0.5159944367176634,0.00702664823197409,"['Rejection', 'Rejection']",-2.0,-0.010309278350515464,-7.243967249457824e-05
0.1024,0.005,-0.5312,0.0,0.0,[],0.0,0.0,0.0
-0.3256,0.005,0.5082,0.0,0.0,[],0.0,0.0,0.0
0.0438,-0.005,0.1833,7.260083449235048,0.09886550881645484,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-26.0,-0.13402061855670103,-0.013250016645504258
-0.7735,-0.005,0.5192,0.0,0.0,[],0.0,0.0,0.0
0.3945,-0.205,-0.1173,0.0,0.0,[],0.0,0.0,0.0
-0.7933,0.205,0.3588,0.0,0.0,[],0.0,0.0,0.0
0.255,0.1615,0.3383,4.8539638386648125,0.06609973673743821,"['Attention', 'Attention', 'Rejection', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Attention', 'Rejection', 'Rejection', 'Attention']",4.0,0.3333333333333333,0.1250291077793899
-0.8207,0.205,0.5873,0.0,0.0,[],0.0,0.0,0.0
-0.6783,0.205,0.4934,0.0,0.0,[],0.0,0.0,0.0
0.1921,0.205,-0.3574,0.0,0.0,[],0.0,0.0,0.0
-0.412,-0.205,0.5282,0.0,0.0,[],0.0,0.0,0.0
0.0004,0.005,0.3856,0.0,0.0,[],0.0,0.0,0.0
0.2064,0.205,-0.4643,0.0,0.0,[],0.0,0.0,0.0
-0.1395,-0.005,0.4622,0.0,0.0,[],0.0,0.0,0.0
-0.0235,0.005,-0.0735,0.0,0.0,[],0.0,0.0,0.0
-0.0551,0.1755,0.7422,0.0,0.0,[],0.0,0.0,0.0
-0.4406,0.1752,0.2855,0.0,0.0,[],0.0,0.0,0.0
-0.2885,0.005,0.4413,0.0,0.0,[],0.0,0.0,0.0
0.7109,0.005,-0.2524,0.0,0.0,[],0.0,0.0,0.0
-0.243,0.205,0.3901,0.0,0.0,[],0.0,0.0,0.0
0.6962,-0.205,-0.2057,0.0,0.0,[],0.0,0.0,0.0
-0.0413,0.205,0.1104,0.0,0.0,[],0.0,0.0,0.0
-0.0121,-0.205,-0.0539,0.0,0.0,[],0.0,0.0,0.0
-0.0561,0.205,0.4069,0.0,0.0,[],0.0,0.0,0.0
-0.0906,-0.005,-0.3008,0.0,0.0,[],0.0,0.0,0.0
0.4136,0.215,-0.384,0.0,0.0,[],0.0,0.0,0.0
-0.3839,0.205,0.6647,0.0,0.0,[],0.0,0.0,0.0
-0.13,-0.005,-0.1176,0.0,0.0,[],0.0,0.0,0.0
-0.21,0.005,0.6221,0.0,0.0,[],0.0,0.0,0.0
-0.3318,0.005,0.5333,0.0,0.0,[],0.0,0.0,0.0
-0.0658,-0.005,0.5492,0.0,0.0,[],0.0,0.0,0.0
-0.1462,0.215,0.4991,0.4847009735744089,0.006600503797420405,"['Attention', 'Attention']",2.0,0.16666666666666666,0.006242499149157216
-0.4725,-0.005,0.1483,0.0,0.0,[],0.0,0.0,0.0
-0.4768,-0.205,0.4432,0.0,0.0,[],0.0,0.0,0.0
0.529,-0.1716,0.0765,0.0,0.0,[],0.0,0.0,0.0
-0.0182,0.215,-0.2295,0.0,0.0,[],0.0,0.0,0.0
0.1367,-0.205,-0.3511,0.0,0.0,[],0.0,0.0,0.0
-0.3173,0.205,0.3565,0.0,0.0,[],0.0,0.0,0.0
-0.5958,0.005,0.6004,0.0,0.0,[],0.0,0.0,0.0
-0.2205,0.005,0.0924,0.0,0.0,[],0.0,0.0,0.0
-0.4716,0.005,0.5514,0.0,0.0,[],0.0,0.0,0.0
-0.1029,0.1553,-0.2039,0.9798331015299027,0.013343055739692038,"['Rejection', 'Rejection', 'Rejection', 'Rejection']",-4.0,-0.020618556701030927,-0.00027511455133385647
0.0131,0.005,0.1406,0.0,0.0,[],0.0,0.0,0.0
-0.0932,0.005,0.1173,0.0,0.0,[],0.0,0.0,0.0
0.649,-0.0641,-0.0973,0.0,0.0,[],0.0,0.0,0.0
-0.024,0.215,0.044,0.0,0.0,[],0.0,0.0,0.0
0.4066,0.0114,-0.369,0.0,0.0,[],0.0,0.0,0.0
0.309,0.205,-0.3639,0.0,0.0,[],0.0,0.0,0.0
-0.2696,0.205,0.5965,0.0,0.0,[],0.0,0.0,0.0
0.2167,-0.205,-0.1677,0.0,0.0,[],0.0,0.0,0.0
-0.5495,-0.005,0.6094,0.0,0.0,[],0.0,0.0,0.0
0.0806,0.215,-0.1297,0.28720445062586925,0.003911058921570483,['Rejection'],-1.0,-0.005154639175257732,-2.0160097533868474e-05
0.0852,-0.005,0.3707,0.0,0.0,[],0.0,0.0,0.0
0.312,0.0667,0.439,0.0,0.0,[],0.0,0.0,0.0
-0.3133,-0.205,-0.1427,0.0,0.0,[],0.0,0.0,0.0
-0.5775,0.0119,0.7421,0.0,0.0,[],0.0,0.0,0.0
0.4762,-0.0305,0.0575,0.0,0.0,[],0.0,0.0,0.0
-0.274,-0.1032,0.7421,0.0,0.0,[],0.0,0.0,0.0
0.3217,-0.1446,-0.0297,10.246870653685676,0.13953862762552321,"['Rejection', 'Attention', 'Rejection', 'Rejection', 'Attention', 'Attention', 'Rejection', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Rejection', 'Attention', 'Attention', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Attention', 'Rejection', 'Rejection', 'Rejection', 'Attention', 'Rejection', 'Attention', 'Rejection', 'Rejection', 'Attention', 'Attention', 'Rejection', 'Rejection', 'Rejection']",-3.0,-0.015463917525773196,-0.0021578138292606686
-0.6505,0.0973,0.3381,0.0,0.0,[],0.0,0.0,0.0
-0.3371,0.205,0.2273,0.0,0.0,[],0.0,0.0,0.0
-0.2179,-0.005,0.1153,0.0,0.0,[],0.0,0.0,0.0
0.0943,-0.205,-0.6864,0.0,0.0,[],0.0,0.0,0.0
-0.3887,0.215,0.2533,0.0,0.0,[],0.0,0.0,0.0
-0.477,-0.022,0.533,0.0,0.0,[],0.0,0.0,0.0
-0.3461,0.005,-0.1853,0.0,0.0,[],0.0,0.0,0.0
-0.0802,0.005,-0.0327,0.0,0.0,[],0.0,0.0,0.0
0.5708,-0.1575,-0.3679,0.0,0.0,[],0.0,0.0,0.0
-0.1493,0.205,0.6905,0.0,0.0,[],0.0,0.0,0.0
-0.4276,-0.205,0.422,0.0,0.0,[],0.0,0.0,0.0
-0.4467,-0.005,0.6193,0.0,0.0,[],0.0,0.0,0.0
-0.779,0.1081,0.3536,0.0,0.0,[],0.0,0.0,0.0
0.0784,0.215,0.7343,0.0,0.0,[],0.0,0.0,0.0
-0.0586,-0.005,-0.0188,0.0,0.0,[],0.0,0.0,0.0
-0.4766,-0.005,0.5479,0.0,0.0,[],0.0,0.0,0.0
0.0497,-0.205,0.417,0.0,0.0,[],0.0,0.0,0.0
0.2546,-0.205,-0.3469,0.0,0.0,[],0.0,0.0,0.0
0.0877,0.0022,0.7414,0.0,0.0,[],0.0,0.0,0.0
-0.1179,0.0628,-0.1821,2.253129346314325,0.030682399287865293,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-9.0,-0.04639175257731959,-0.0014234102762411736
0.3119,0.0575,0.5181,0.0,0.0,[],0.0,0.0,0.0
0.2262,-0.1436,-0.6058,0.0,0.0,[],0.0,0.0,0.0
0.4903,0.005,-0.1969,0.0,0.0,[],0.0,0.0,0.0
-0.1645,0.005,0.3656,0.0,0.0,[],0.0,0.0,0.0
-0.1118,-0.005,-0.4067,0.0,0.0,[],0.0,0.0,0.0
-0.089,-0.1543,-0.6108,0.0,0.0,[],0.0,0.0,0.0
0.4624,-0.0259,-0.4427,0.0,0.0,[],0.0,0.0,0.0
-0.1908,0.215,0.0649,0.0,0.0,[],0.0,0.0,0.0
0.0877,-0.1444,0.7108,0.0,0.0,[],0.0,0.0,0.0
-0.4563,0.005,0.396,0.0,0.0,[],0.0,0.0,0.0
0.4441,0.138,-0.4554,0.0,0.0,[],0.0,0.0,0.0
0.0998,0.205,0.4423,0.0,0.0,[],0.0,0.0,0.0
0.6005,-0.0694,-0.027,0.0,0.0,[],0.0,0.0,0.0
0.5645,-0.005,0.0642,0.0,0.0,[],0.0,0.0,0.0
-0.0072,0.215,0.1929,0.53894297635605,0.0073391541506467916,"['Rejection', 'Attention']",0.0,0.0,0.0
0.1224,0.005,0.4017,1.2127955493741307,0.016515464308036135,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-5.0,-0.02577319587628866,-0.00042565629659886944
0.7443,0.005,-0.1955,0.0,0.0,[],0.0,0.0,0.0
0.0561,0.005,0.2856,5.205841446453407,0.0708914941570863,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-20.0,-0.10309278350515463,-0.007308401459493432
-0.4243,0.005,0.5872,0.0,0.0,[],0.0,0.0,0.0
0.0524,-0.205,-0.1406,0.0,0.0,[],0.0,0.0,0.0
0.2107,0.067,0.7422,0.0,0.0,[],0.0,0.0,0.0
0.1653,0.0797,0.3383,0.24965229485396384,0.0033996856001060624,['Rejection'],-1.0,-0.005154639175257732,-1.7524152577866303e-05
0.0208,0.005,0.4133,0.0,0.0,[],0.0,0.0,0.0
0.1221,0.005,-0.0393,0.0,0.0,[],0.0,0.0,0.0
0.1094,0.205,0.3932,0.0,0.0,[],0.0,0.0,0.0
-0.1065,-0.005,0.4214,0.0,0.0,[],0.0,0.0,0.0
0.3119,0.0537,0.6047,0.0,0.0,[],0.0,0.0,0.0
0.3303,0.005,-0.404,0.0,0.0,[],0.0,0.0,0.0
-0.1602,0.005,-0.0694,0.0,0.0,[],0.0,0.0,0.0
0.1814,-0.005,0.6785,0.0,0.0,[],0.0,0.0,0.0
-0.2483,-0.205,0.3442,0.0,0.0,[],0.0,0.0,0.0
-0.1824,0.0935,-0.0887,0.0,0.0,[],0.0,0.0,0.0
-0.3687,-0.005,0.5572,0.0,0.0,[],0.0,0.0,0.0
-0.6345,0.005,0.7233,0.0,0.0,[],0.0,0.0,0.0
-0.3109,0.1537,0.0975,0.0,0.0,[],0.0,0.0,0.0
0.0878,-0.0517,0.2445,0.0,0.0,[],0.0,0.0,0.0
0.208,0.093,-0.6456,0.5347705146036161,0.007282334892706301,"['Rejection', 'Rejection']",-2.0,-0.010309278350515464,-7.507561745058042e-05
-0.2082,-0.005,0.6024,0.0,0.0,[],0.0,0.0,0.0
-0.0038,-0.205,-0.0905,0.0,0.0,[],0.0,0.0,0.0
-0.0096,-0.205,0.209,0.0,0.0,[],0.0,0.0,0.0
0.0269,-0.205,-0.0248,0.0,0.0,[],0.0,0.0,0.0
0.4697,0.0684,-0.4604,0.0,0.0,[],0.0,0.0,0.0
-0.3708,0.215,0.4234,0.0,0.0,[],0.0,0.0,0.0
-0.6753,0.1043,0.3381,0.0,0.0,[],0.0,0.0,0.0
-0.569,0.205,0.5191,0.0,0.0,[],0.0,0.0,0.0
-0.1573,-0.205,0.4583,0.0,0.0,[],0.0,0.0,0.0
-0.0393,-0.005,-0.5531,0.0,0.0,[],0.0,0.0,0.0
-0.0422,0.205,0.0146,0.0,0.0,[],0.0,0.0,0.0
0.697,-0.1564,-0.1668,0.0,0.0,[],0.0,0.0,0.0
-0.6306,0.205,0.5794,0.0,0.0,[],0.0,0.0,0.0
-0.6145,0.2129,0.7557,0.0,0.0,[],0.0,0.0,0.0
0.1982,-0.005,0.4971,0.0,0.0,[],0.0,0.0,0.0
-0.1354,-0.205,-0.2107,0.0,0.0,[],0.0,0.0,0.0
0.747,-0.005,-0.2395,0.0,0.0,[],0.0,0.0,0.0
0.2525,0.205,0.4961,0.0,0.0,[],0.0,0.0,0.0
0.1352,0.0392,-0.5489,0.0,0.0,[],0.0,0.0,0.0
-0.37,0.005,0.2188,0.0,0.0,[],0.0,0.0,0.0
0.3026,-0.005,-0.1863,0.0,0.0,[],0.0,0.0,0.0
-0.3723,0.205,0.3195,0.0,0.0,[],0.0,0.0,0.0
-0.1911,-0.205,0.3407,0.0,0.0,[],0.0,0.0,0.0
-0.5085,0.205,0.6049,0.0,0.0,[],0.0,0.0,0.0
