x,y,z,SaliencyScore,NormalizedScore
-0.1851,0.0657,0.7529,0.0,0.0
0.077,0.085,-0.5712,0.0,0.0
0.3116,-0.0456,-0.1726,0.0,0.0
-0.5486,-0.0443,-0.0899,0.0,0.0
-0.3751,0.0299,0.2502,0.0,0.0
0.4333,-0.1296,-0.0878,0.0,0.0
-0.0483,-0.0964,-0.4914,0.0,0.0
-0.1871,-0.1368,0.4644,0.0,0.0
-0.5145,-0.0045,-0.5724,0.0,0.0
0.2352,-0.2057,0.1044,0.0,0.0
0.6025,0.0369,0.1766,0.4412522290469587,0.03633960478436108
-0.2803,-0.1368,0.3691,0.0,0.0
-0.3751,-0.0912,-0.3671,0.0,0.0
0.0017,0.0553,-0.4977,0.0,0.0
-0.18,-0.1689,-0.0564,0.0,0.0
0.6622,-0.1539,-0.1632,1.9282742223102836,0.15880423608504804
-0.4937,0.1544,0.6906,0.22884882108183083,0.01884698856126495
0.3399,-0.0456,-0.1078,0.0,0.0
-0.6361,-0.2456,0.3897,0.0,0.0
0.5616,-0.0456,-0.4459,0.0,0.0
-0.1352,0.0867,-0.3414,0.0,0.0
-0.3626,-0.2456,-0.2993,0.0,0.0
0.4571,0.0369,0.0335,0.0,0.0
0.3376,-0.1956,0.0333,0.0,0.0
-0.0116,0.0406,-0.7842,0.0,0.0
-0.1807,-0.167,0.2783,0.0,0.0
-0.4251,0.0528,-0.1233,0.0,0.0
-0.0548,-0.1868,-0.5526,0.3459480879730533,0.028490772318587532
-0.5121,0.2443,-0.4642,0.0,0.0
-0.4972,0.1544,-0.3672,0.0,0.0
0.0017,-0.0721,-0.4377,0.0,0.0
0.4947,-0.2456,0.2696,0.0,0.0
-0.2613,-0.1868,-0.6591,0.0,0.0
-0.1816,-0.1368,-0.3956,0.0,0.0
0.2352,-0.1736,0.3112,0.0,0.0
-0.6039,0.1544,-0.5099,0.0,0.0
-0.6504,-0.0308,-0.0901,0.0,0.0
0.6134,-0.0456,-0.4121,0.0,0.0
0.1793,-0.0134,-0.5709,0.0,0.0
-0.1803,0.0686,0.0649,0.0,0.0
-0.0283,0.0956,-0.7819,0.0,0.0
-0.2551,-0.2456,0.1263,1.8945908460471572,0.15603022045265408
-0.0955,-0.1487,-0.7844,0.0,0.0
-0.2273,0.1544,-0.2188,0.0,0.0
-0.1441,0.0867,-0.2267,0.0,0.0
-0.0483,-0.0406,0.655,0.0,0.0
-0.3751,0.0351,-0.4806,0.0,0.0
-0.2136,-0.1368,-0.4426,0.0,0.0
-0.6312,0.0994,-0.0901,0.0,0.0
0.3739,-0.0456,-0.3212,0.0,0.0
-0.2945,-0.1368,-0.2228,0.0,0.0
-0.4251,-0.0885,-0.0804,0.0,0.0
0.0017,0.0161,-0.7019,0.0,0.0
-0.0034,-0.009,-0.7842,0.0,0.0
0.4524,-0.0456,-0.828,0.0,0.0
-0.2769,-0.1368,0.0155,0.0,0.0
-0.1798,0.0747,-0.1754,0.0,0.0
0.4717,-0.0456,-0.4787,0.0,0.0
-0.0618,0.0956,0.1432,0.0,0.0
-0.3751,0.0114,-0.3946,0.0,0.0
-0.307,-0.1368,-0.2508,0.0,0.0
0.2352,-0.0333,0.0747,0.0,0.0
-0.1486,-0.1868,-0.5812,0.0,0.0
0.6626,-0.0077,-0.3429,0.8785417079453142,0.07235285478844052
-0.2688,-0.1368,0.3558,0.0,0.0
0.6621,-0.2421,-0.0096,0.0,0.0
-0.6643,-0.1893,0.7289,0.0,0.0
0.288,0.2443,-0.3838,0.0,0.0
0.4396,-0.1956,0.0127,0.0,0.0
0.3048,-0.1956,0.5067,0.0,0.0
-0.2698,0.1544,0.6855,0.0,0.0
-0.2985,0.1261,0.7527,0.0,0.0
0.4321,-0.0456,-0.7481,0.0,0.0
-0.0498,-0.1868,-0.242,0.0,0.0
-0.4251,-0.1341,0.4067,0.0,0.0
0.2352,-0.0443,0.3224,0.0,0.0
-0.1549,0.0956,-0.367,0.0,0.0
-0.1604,-0.1868,0.8097,1.6841688131563308,0.1387007816196988
-0.0845,0.0956,0.1474,0.0,0.0
-0.6616,0.0165,-0.507,0.0,0.0
0.1804,-0.2135,-0.5082,0.0,0.0
-0.4251,0.0147,0.4948,0.0,0.0
-0.3429,-0.1368,-0.0788,0.0,0.0
-0.377,0.0217,-0.7853,0.0,0.0
-0.6244,0.1544,0.4123,0.47790766792153766,0.03935838650196629
-0.3558,-0.1567,0.8553,0.0,0.0
-0.5611,0.1544,0.2765,0.0,0.0
-0.364,0.0456,-0.442,0.0,0.0
-0.1806,-0.2267,0.2166,0.0,0.0
0.0017,-0.1539,0.1263,0.22785813354468004,0.01876539986619454
-0.0483,0.0291,-0.2907,0.0,0.0
-0.4251,-0.1035,0.798,0.0,0.0
0.1808,-0.1103,-0.691,0.0,0.0
-0.3751,-0.058,0.3502,0.0,0.0
-0.0367,-0.1868,-0.3015,0.0,0.0
-0.1102,0.2379,-0.5716,0.0,0.0
-0.51,-0.0456,-0.2351,0.0,0.0
-0.3751,-0.0384,0.4022,0.0,0.0
-0.3179,0.2443,-0.5347,0.0,0.0
0.0738,0.2443,-0.4822,0.0,0.0
-0.3002,0.0456,-0.4012,0.0,0.0
0.3441,-0.0456,-0.4657,0.0,0.0
0.6621,-0.2069,-0.0004,0.25658807212205276,0.02113147202323646
-0.2445,-0.1368,-0.2227,0.0,0.0
-0.2779,-0.2456,-0.0399,0.0,0.0
-0.1971,-0.1368,-0.036,0.0,0.0
0.6621,-0.0438,0.147,0.8313849811769369,0.06846923290308894
-0.4365,0.1544,0.0286,0.0,0.0
0.2146,0.2443,-0.5648,0.0,0.0
0.4493,-0.2456,-0.1354,0.0,0.0
-0.292,-0.1868,-0.1576,0.0,0.0
-0.3433,0.0837,-0.7852,0.0,0.0
-0.4405,-0.2456,0.4316,0.5757875965920349,0.047419349574922894
0.0017,-0.1659,0.7014,0.0,0.0
0.2561,-0.0456,-0.568,0.0,0.0
0.6621,0.0349,0.1305,2.8694273826035275,0.23631349640193855
0.6624,-0.2408,-0.2118,0.0,0.0
-0.1798,-0.1899,-0.1634,0.0,0.0
-0.4723,0.2443,-0.2344,0.0,0.0
-0.1796,0.1384,-0.2515,0.0,0.0
0.0782,-0.0145,-0.0885,0.8036457301367149,0.06618474944111744
