x,y,z,SaliencyScore,NormalizedScore
-0.3677,0.0274,-0.5696,0.0,0.0
-0.2222,-0.2389,-0.0332,0.0,0.0
0.6269,-0.2285,-0.3132,0.0,0.0
0.6798,0.0174,0.5472,0.0,0.0
0.3741,-0.2285,-0.5392,0.0,0.0
-0.7191,-0.1004,-0.2403,0.0,0.0
-0.4091,0.0274,-0.3251,0.0,0.0
0.2483,0.0174,0.1495,0.0,0.0
0.493,-0.2435,-0.2868,0.0,0.0
-0.5185,0.2112,-0.3148,0.0,0.0
0.6017,-0.2252,-0.5106,0.0,0.0
0.2481,0.0274,-0.3177,0.0,0.0
0.6914,0.0324,0.5976,0.21470342522974104,0.015443783426476771
0.5484,-0.0339,-0.2226,0.0,0.0
0.5789,-0.2435,-0.2749,0.0,0.0
-0.5187,0.0934,-0.6458,0.0,0.0
0.0477,0.025,-0.6054,0.0,0.0
0.5041,0.0272,-0.6917,0.0,0.0
0.3513,0.0174,-0.5745,0.0,0.0
0.1831,0.0088,0.0425,0.8295739348370927,0.0596718947178655
0.4307,0.0174,-0.1212,0.23558897243107774,0.01694609698936362
0.08,0.2285,0.1682,3.083542188805347,0.22180157442461387
0.1457,-0.2435,-0.134,2.329156223893066,0.16753800853314102
0.468,-0.2285,0.0559,0.0,0.0
-0.0269,-0.2435,-0.3436,0.0,0.0
0.2615,0.0324,-0.0542,0.765246449456976,0.05504476894417403
-0.6518,-0.2435,-0.1115,0.0,0.0
0.2789,0.2285,-0.4851,0.0,0.0
0.6509,0.2435,0.1393,0.6675020885547203,0.04801394146986359
0.554,0.0274,-0.6078,0.0,0.0
0.6018,0.0768,0.2546,0.21470342522974104,0.015443783426476771
-0.0725,0.2285,-0.6445,0.0,0.0
0.0478,0.24,0.1247,0.9081035923141187,0.06532059371432004
0.1925,-0.2285,0.2936,0.0,0.0
-0.7192,-0.1478,-0.4043,0.0,0.0
0.4448,-0.1289,-0.6214,0.0,0.0
0.2378,-0.2285,0.182,0.0,0.0
0.0636,-0.2435,-0.0165,0.5981620718462825,0.04302626044107926
0.4836,0.2285,0.2282,0.0,0.0
0.6492,0.2435,0.1907,0.0,0.0
0.3997,-0.2435,-0.1314,0.0,0.0
-0.4565,-0.2435,-0.0382,0.0,0.0
