x,y,z,SaliencyScore,NormalizedScore
0.7867,0.1665,-0.3614,0.0,0.0
-0.6498,-0.1726,0.3672,0.0,0.0
-0.7891,-0.341,-0.5693,2.2182852143482066,0.13656316483989983
0.3535,0.2141,-0.4061,0.6762904636920386,0.041634125979586906
-0.5988,-0.1726,0.1975,0.5087489063867017,0.03131985026795573
-0.2139,-0.4026,-0.4245,0.26290463692038496,0.01618506449788598
-0.6205,-0.4026,0.3838,0.24190726159230097,0.014892413755958315
-0.4747,-0.1726,0.5918,0.0,0.0
0.7476,-0.3976,-0.602,0.0,0.0
-0.1444,-0.1365,-0.2203,5.682852143482065,0.34985053725796467
0.543,-0.2756,-0.4175,0.0,0.0
0.654,-0.2089,-0.61,0.24059492563429571,0.014811623084587834
0.6059,-0.4026,-0.3429,0.0,0.0
-0.3076,-0.1726,0.3269,2.3595800524934387,0.14526162712412144
0.25,-0.3345,-0.0514,0.0,0.0
-0.5744,-0.1866,-0.5839,0.0,0.0
-0.2023,0.3376,-0.1283,0.0,0.0
0.2933,-0.0731,-0.1619,1.5538057742782154,0.09565615490264727
-0.1097,-0.1227,-0.7106,0.0,0.0
-0.0372,0.2161,-0.0248,0.905074365704287,0.05571863302184042
0.2588,0.1221,0.0554,9.71347331583552,0.5979856192604961
0.5162,-0.2146,-0.663,0.39107611548556437,0.024075620068402775
0.1801,-0.4026,-0.4466,0.0,0.0
-0.5969,-0.1726,-0.034,0.0,0.0
0.7854,-0.0035,-0.0801,3.188538932633421,0.19629440120647407
0.1723,0.0369,-0.0547,0.6369203849518811,0.039210405838472524
0.5953,-0.2691,-0.4231,0.0,0.0
-0.6852,-0.1726,0.0376,0.0,0.0
-0.5235,-0.4026,-0.058,0.2852143482064742,0.017558505911184123
0.6289,-0.2132,-0.4705,0.0,0.0
-0.0039,-0.1982,-0.5974,0.0,0.0
0.4057,-0.0771,-0.2708,0.0,0.0
0.7867,0.1456,-0.1963,0.0,0.0
-0.481,-0.1726,0.191,0.5218722659667542,0.032127756981660524
-0.5586,-0.4026,-0.2462,0.0,0.0
-0.5664,-0.4026,0.3507,0.0,0.0
-0.2777,0.2638,-0.0655,0.0,0.0
0.2653,0.1452,-0.4603,1.4921259842519685,0.09185899334823473
-0.0886,-0.4026,-0.0211,0.0,0.0
-0.0321,0.0369,-0.1417,0.0,0.0
0.5783,0.3776,-0.1623,0.0,0.0
-0.5044,0.1931,-0.3423,0.0,0.0
-0.4445,-0.1083,-0.2031,4.34601924759405,0.2675517733552366
0.5747,0.3636,-0.1504,0.0,0.0
-0.2892,-0.2522,0.2221,0.0,0.0
0.0315,0.3253,-0.1178,0.0,0.0
-0.7892,-0.2236,0.2488,0.8762029746281714,0.05394123825168987
-0.5044,0.3027,-0.2825,0.0,0.0
0.0956,-0.1006,-0.6218,0.5192475940507436,0.03196617563891956
-0.3005,-0.0524,-0.8439,1.8337707786526685,0.11289149812834946
-0.6389,-0.2026,0.7118,0.0,0.0
-0.3949,-0.1726,0.3045,0.5284339457567805,0.032531710338512924
-0.0325,-0.1072,-0.5411,0.0,0.0
0.023,-0.0863,-0.5124,0.0,0.0
0.4376,0.084,-0.4081,1.0336832895888013,0.06363611881614736
-0.2173,0.3639,-0.1507,0.0,0.0
0.5295,-0.1415,-0.2188,4.930883639545057,0.3035574825626801
-0.5044,0.142,-0.3712,0.0,0.0
-0.7816,-0.2123,0.9091,0.0,0.0
-0.267,-0.4026,-0.1704,0.0,0.0
-0.2892,-0.3379,0.2689,0.0,0.0
-0.7892,-0.3509,0.0928,0.0,0.0
-0.1309,0.0369,-0.2225,0.0,0.0
-0.7892,-0.2061,0.9018,0.0,0.0
-0.4361,-0.2026,0.8609,0.0,0.0
-0.1911,-0.0711,-0.4945,0.0,0.0
-0.0007,-0.2603,-0.1147,0.8985126859142607,0.05531467966498802
0.4678,0.0369,-0.2415,0.0,0.0
-0.2892,-0.3344,0.6186,0.0,0.0
0.0616,-0.1617,-0.5546,0.0,0.0
-0.7891,-0.2694,-0.47,0.0,0.0
-0.2892,-0.3083,-0.0211,0.0,0.0
-0.1298,0.0064,-0.4192,0.0,0.0
-0.0794,-0.2045,-0.1623,1.2283464566929134,0.07562006840276844
-0.1864,-0.3284,-0.0568,0.0,0.0
0.7866,0.2249,-0.1924,0.0,0.0
-0.0288,-0.4026,-0.0236,0.0,0.0
-0.4805,-0.2026,0.6981,0.0,0.0
-0.1173,0.0285,-0.4213,0.0,0.0
-0.5867,-0.2481,0.9091,0.39632545931758534,0.02439878275388469
0.4702,-0.4026,-0.569,0.24190726159230097,0.014892413755958315
-0.2613,-0.1268,-0.6949,0.0,0.0
-0.3579,-0.2407,-0.6935,0.0,0.0
0.5295,-0.0847,-0.4373,5.640857392825897,0.34726523577410934
0.5696,-0.1537,-0.5453,0.0,0.0
-0.7355,-0.2026,0.0756,0.0,0.0
-0.1577,-0.2718,-0.7302,0.0,0.0
0.3529,0.2459,-0.3688,0.6697287839020123,0.041230172622734505
-0.4203,-0.4026,-0.3187,0.4028871391076116,0.024802736110737085
-0.348,-0.1726,0.1626,3.6933508311461067,0.22737187946031834
-0.3975,-0.0751,-0.2727,0.0,0.0
0.0736,0.2365,-0.0421,0.9181977252843394,0.05652653973554521
0.0971,0.3779,-0.1626,0.0,0.0
0.0217,-0.1048,-0.7797,0.0,0.0
0.6669,-0.1776,-0.5733,0.24059492563429571,0.014811623084587834
-0.0018,-0.4026,-0.4602,0.0,0.0
0.2107,-0.2843,-0.0942,0.7664041994750657,0.047181752080359796
0.7867,-0.1548,-0.5555,0.0,0.0
-0.5959,-0.4026,-0.5756,0.0,0.0
-0.5784,-0.1726,-0.0483,0.6329833770778652,0.038968033824361085
-0.4685,-0.4026,0.2189,0.0,0.0
-0.2239,-0.1187,-0.5041,0.0,0.0
-0.2526,-0.0212,-0.6807,0.24059492563429571,0.014811623084587834
-0.1336,-0.3906,-0.6343,0.2510936132983377,0.015457948455551667
-0.1978,-0.0192,-0.6704,0.0,0.0
0.3441,-0.3223,-0.6926,2.5332458442694663,0.15595292596881483
-0.5044,0.1981,-0.2216,0.0,0.0
-0.0703,-0.2852,-0.6995,0.24190726159230097,0.014892413755958315
0.1692,-0.2244,-0.6744,0.24190726159230097,0.014892413755958315
0.2203,0.0369,-0.3038,0.0,0.0
0.0567,-0.1328,-0.6714,0.0,0.0
0.5071,0.3741,-0.1593,0.0,0.0
0.4689,-0.2317,-0.1391,0.0,0.0
-0.6455,-0.4026,-0.1321,0.0,0.0
-0.1079,-0.0711,-0.4483,0.0,0.0
-0.5044,0.1222,-0.3377,0.2720909886264217,0.016750599197479336
-0.4582,-0.3511,0.9091,0.7703412073490814,0.047424124094471234
-0.6146,-0.4026,-0.2407,0.0,0.0
-0.6093,-0.2026,0.3985,0.0,0.0
-0.7891,-0.3937,-0.3744,0.0,0.0
0.1583,0.3894,-0.1724,1.037182852143482,0.06385156060646864
-0.7891,-0.3443,-0.5159,0.0,0.0
-0.0232,-0.255,-0.7109,0.0,0.0
-0.0937,-0.0833,-0.547,0.0,0.0
0.5296,-0.3488,-0.4458,0.0,0.0
-0.2307,-0.0395,-0.7764,0.0,0.0
-0.2638,-0.0929,-0.8881,0.0,0.0
0.636,-0.3375,-0.365,0.0,0.0
0.4368,-0.0161,-0.3228,0.0,0.0
-0.108,-0.1364,-0.2203,6.751093613298339,0.4156141437535347
0.0673,-0.0462,-0.4942,0.5153105861767279,0.031723803624808124
-0.2467,-0.0343,-0.4574,0.0,0.0
0.0252,-0.1106,-0.7571,0.0,0.0
-0.3229,-0.2066,-0.6072,0.0,0.0
-0.0683,-0.4026,-0.1597,0.0,0.0
0.5576,-0.0624,-0.2834,0.0,0.0
0.3576,0.1637,0.02,0.28390201224846895,0.017477715239813646
-0.1913,-0.3099,-0.0725,0.0,0.0
-0.1316,-0.1609,-0.5999,0.0,0.0
-0.2389,-0.0051,-0.3709,0.0,0.0
-0.0407,-0.1633,-0.5564,0.0,0.0
-0.3015,-0.1726,0.8282,0.0,0.0
-0.4309,-0.0334,-0.4504,1.7865266841644796,0.10998303395901222
-0.1355,-0.0202,-0.4571,0.0,0.0
-0.3996,-0.1726,0.3204,0.7690288713910762,0.04734333342310076
0.6344,-0.1947,-0.4862,0.0,0.0
-0.0598,-0.1119,-0.5466,0.0,0.0
-0.1852,-0.0086,-0.6152,0.0,0.0
0.0258,-0.0929,-0.6164,0.0,0.0
-0.0451,-0.2011,-0.1652,7.383202099737534,0.45452831713031544
-0.4443,0.027,-0.3597,0.0,0.0
-0.7892,-0.2574,0.3886,0.0,0.0
0.3857,-0.4026,-0.5733,0.0,0.0
-0.7892,-0.3149,-0.0426,0.7572178477690289,0.04661621738076644
-0.5044,0.2305,-0.2063,0.0,0.0
-0.5747,-0.1726,0.7602,0.0,0.0
0.7866,0.1075,-0.0561,0.0,0.0
-0.4181,-0.1063,-0.2008,10.326771653543307,0.6357417930143
-0.6325,-0.2026,0.5697,0.0,0.0
0.4535,-0.4026,-0.1187,0.0,0.0
0.2627,0.3768,-0.1616,0.0,0.0
-0.6623,-0.4026,-0.5679,0.0,0.0
0.0456,-0.0112,-0.4443,0.0,0.0
0.7139,0.3416,-0.2565,0.0,0.0
-0.5333,-0.2026,0.3671,0.0,0.0
-0.2488,-0.343,-0.6749,1.042432195975503,0.06417472329195056
0.403,-0.1005,-0.5291,0.0,0.0
-0.3648,-0.1726,0.1315,0.5179352580927384,0.031885384967549085
0.6535,0.2126,-0.4079,1.5511811023622049,0.0954945735599063
0.2506,-0.3192,-0.6952,0.24190726159230097,0.014892413755958315
-0.6007,-0.1726,0.4659,0.0,0.0
-0.7892,-0.2905,0.1114,0.5205599300087489,0.03204696631029004
0.0139,-0.0532,-0.5042,0.0,0.0
-0.3998,-0.4026,-0.0273,1.9816272965879265,0.12199391376942344
-0.1806,-0.0439,-0.7994,0.0,0.0
-0.327,-0.1331,-0.6179,1.3197725284339459,0.08124848517491182
-0.294,-0.0117,-0.3786,0.0,0.0
-0.7386,-0.1781,0.9091,0.40551181102362205,0.024964317453478043
-0.2495,-0.1985,-0.1674,2.49912510936133,0.15385236851318237
-0.7433,-0.4026,0.1634,0.0,0.0
0.3307,-0.0467,-0.2968,0.0,0.0
0.3677,-0.3996,0.004,0.5153105861767279,0.031723803624808124
-0.284,0.0117,-0.4117,0.0,0.0
0.6725,0.3175,-0.2848,0.48118985126859143,0.02962324616917567
-0.35,-0.4026,-0.0867,1.1706036745406823,0.07206527886246734
0.7866,0.2638,-0.2619,0.0,0.0
-0.7657,0.0098,-0.3534,0.8753280839895013,0.053887377804109564
0.7683,-0.2557,-0.6649,0.5179352580927383,0.03188538496754908
-0.7892,-0.206,0.4332,0.0,0.0
0.5295,-0.0918,-0.3009,0.0,0.0
0.027,-0.1093,-0.584,0.0,0.0
0.0268,-0.4026,-0.3159,0.0,0.0
-0.0319,-0.0929,-0.8042,0.24846894138232722,0.01529636711281071
0.4364,-0.3459,-0.0417,0.24059492563429571,0.014811623084587834
0.3793,-0.1997,-0.6454,0.38976377952755903,0.02399482939703229
-0.466,-0.1726,0.9031,0.0,0.0
-0.0407,-0.4026,-0.2101,0.0,0.0
0.4876,0.0369,-0.1814,0.24059492563429571,0.014811623084587834
-0.4245,-0.2026,0.7384,0.0,0.0
-0.6484,-0.1726,0.5102,0.0,0.0
-0.2416,0.2527,-0.056,0.25765529308836393,0.015861901812404062
0.0815,-0.3923,-0.6329,0.7847769028871392,0.048312821479546506
-0.27,-0.0498,-0.4993,0.24059492563429571,0.014811623084587834
-0.1114,-0.0785,-0.5402,0.0,0.0
-0.4668,-0.4026,-0.577,0.0,0.0
-0.7892,-0.296,-0.1404,0.0,0.0
0.7866,0.035,-0.0393,0.24321959755030623,0.014973204427328794
-0.2077,-0.1934,-0.1717,4.284339457567804,0.2637546118008241
-0.5043,0.0203,-0.353,0.0,0.0
-0.1047,0.2773,-0.0769,0.5139982502187227,0.031643012953437646
-0.2892,-0.2353,-0.0734,0.0,0.0
0.5244,0.0233,-0.3563,1.1850393700787403,0.07295397624754263
-0.4289,-0.4026,0.8461,0.0,0.0
-0.7341,-0.4026,0.2218,0.0,0.0
-0.4654,-0.1726,0.4911,0.39107611548556437,0.024075620068402775
-0.0381,-0.1706,-0.6113,0.0,0.0
0.7445,-0.2207,-0.5433,1.3941382327209098,0.08582662321923895
-0.5088,-0.4026,0.6649,0.0,0.0
-0.1616,-0.0097,-0.4292,0.0,0.0
0.1092,0.0203,-0.0522,2.804024496937883,0.17262273449492369
0.1223,-0.2037,-0.6502,2.1697287839020123,0.1335739099991921
0.3396,-0.4026,-0.3403,0.0,0.0
0.6566,0.2752,-0.3344,0.0,0.0
-0.2172,-0.2561,-0.7116,0.0,0.0
0.1668,-0.3208,-0.0632,0.0,0.0
-0.7892,-0.2657,0.1487,2.4956255468066493,0.15363692672286108
-0.1467,-0.1257,-0.6074,0.0,0.0
0.2172,-0.2242,-0.6742,0.0,0.0
0.5086,-0.0072,-0.3734,1.1850393700787403,0.07295397624754263
0.4893,-0.0837,-0.5094,1.9173228346456697,0.11803517087226999
0.297,0.0255,-0.3583,0.0,0.0
-0.7892,-0.193,-0.424,0.0,0.0
-0.2184,-0.4026,-0.5054,0.0,0.0
-0.6967,0.0132,-0.3494,0.0,0.0
-0.5058,-0.2806,0.9091,0.0,0.0
-0.4354,-0.1726,0.2572,1.94750656167979,0.11989335631379099
0.0407,-0.1851,-0.8095,1.8009623797025371,0.11087173134408748
-0.7074,-0.4026,0.7062,0.0,0.0
-0.5145,-0.1726,0.2067,0.0,0.0
0.4888,-0.1872,-0.6307,0.0,0.0
-0.5451,-0.1164,-0.5478,0.0,0.0
-0.5138,-0.2026,0.4095,0.0,0.0
-0.381,0.0844,-0.4086,0.28127734033245844,0.017316133897072688
-0.3687,-0.2026,0.3811,0.0,0.0
0.3385,-0.0306,-0.4471,1.6832895888014,0.10362750114453453
-0.2688,0.0369,-0.3392,0.0,0.0
0.4987,-0.3777,-0.0146,0.0,0.0
-0.2046,-0.2488,-0.7037,0.0,0.0
0.1675,0.3869,-0.1703,1.037182852143482,0.06385156060646864
0.7195,-0.0671,-0.4742,0.0,0.0
-0.1363,-0.4026,-0.4988,0.0,0.0
0.6123,-0.0625,-0.2833,0.6671041119860018,0.04106859127999355
0.253,-0.0463,-0.2971,0.0,0.0
0.3835,-0.3465,-0.0412,0.0,0.0
0.3895,0.0862,0.0251,2.021872265966754,0.12447149435811812
-0.0586,0.0051,-0.5435,0.0,0.0
-0.6664,-0.4026,-0.1911,0.0,0.0
0.2594,0.0559,-0.3842,1.1535433070866141,0.07101500013465112
0.0278,-0.0929,-0.7931,0.0,0.0
-0.3406,-0.4026,-0.0763,1.1706036745406823,0.07206527886246734
0.7449,-0.0973,-0.1902,0.24059492563429571,0.014811623084587834
-0.0415,0.2671,-0.3438,0.0,0.0
0.6283,0.0369,-0.3185,0.0,0.0
-0.7892,-0.1809,0.2578,0.0,0.0
-0.6955,-0.4026,-0.3835,0.0,0.0
0.3781,-0.4026,-0.2577,0.7926509186351706,0.048797565507769376
-0.7892,-0.2812,-0.2356,0.0,0.0
-0.1401,-0.0929,-0.7735,0.24453193350831148,0.015053995098699273
-0.3382,-0.2026,0.3361,0.0,0.0
