x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.7346,-0.2,0.8739,0.0,[],0.0,0.0
-0.5633,0.1073,0.6927,2.5095045651848533,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.00820655898188938
0.5586,0.0,-0.4372,0.0,[],0.0,0.0
-0.4633,0.0,0.2803,0.0,[],0.0,0.0
0.0511,0.0,-0.6446,0.0,[],0.0,0.0
0.3966,-0.1795,-0.892,0.0,[],0.0,0.0
-0.6132,0.0,-0.2644,0.0,[],0.0,0.0
-0.6435,0.0,-0.0594,0.0,[],0.0,0.0
-0.7822,-0.2,0.5734,0.1887441999700644,['Attention'],1.0,0.00012344591287322568
-0.1264,0.0,-0.3707,0.0,[],0.0,0.0
-0.4995,-0.2,-0.4444,0.0,[],0.0,0.0
0.6227,0.2,-0.3741,1.8151474330190094,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",8.0,0.009497405775819876
0.5939,-0.173,-0.392,0.0,[],0.0,0.0
-0.3927,-0.2,0.3395,0.0,[],0.0,0.0
-0.8511,0.0242,0.892,0.0,[],0.0,0.0
-0.8264,0.189,0.0821,0.537045352492142,"['Attention', 'Attention']",2.0,0.0007024963289280473
0.5196,0.0,-0.5786,0.0,[],0.0,0.0
-0.629,0.2,0.542,0.0,[],0.0,0.0
-0.0448,0.2,-0.1925,0.0,[],0.0,0.0
-0.7069,-0.2,0.7681,0.0,[],0.0,0.0
0.2357,-0.2,-0.6102,1.261038766651699,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.0032990699951052373
-0.3288,0.0,-0.1319,0.0,[],0.0,0.0
-0.0195,0.2,-0.4342,0.0,[],0.0,0.0
0.4888,-0.0587,-0.892,0.0,[],0.0,0.0
-0.8572,-0.0756,0.8028,0.1748241281245323,['Attention'],1.0,0.00011434165442976017
-0.2574,-0.1449,-0.0155,0.0,[],0.0,0.0
0.0106,0.0,-0.3723,0.0,[],0.0,0.0
-0.4372,-0.2,-0.5088,0.0,[],0.0,0.0
-0.6575,0.2,0.7452,0.0,[],0.0,0.0
0.5638,0.0,-0.0848,0.0,[],0.0,0.0
0.5761,-0.2,-0.6808,0.0,[],0.0,0.0
0.0251,0.0,-0.6732,0.0,[],0.0,0.0
-0.1784,0.2,-0.3421,0.0,[],0.0,0.0
-0.5478,0.0,-0.1466,0.0,[],0.0,0.0
-0.3954,0.0,0.4985,0.0,[],0.0,0.0
0.1927,0.0,-0.6029,0.0,[],0.0,0.0
0.6482,0.0,-0.3359,0.0,[],0.0,0.0
-0.1798,0.2,-0.2892,0.0,[],0.0,0.0
0.0956,-0.1899,-0.3305,0.36311929351893435,['Attention'],1.0,0.00023749388154674505
-0.8565,0.0943,0.3168,0.0,[],0.0,0.0
-0.3572,0.0749,0.892,1.0731926358329593,"['Attention', 'Attention']",2.0,0.0014038179148311311
0.3842,-0.1841,-0.8919,0.0,[],0.0,0.0
0.6493,0.174,-0.1665,0.0,[],0.0,0.0
-0.8531,0.0444,0.2564,0.0,[],0.0,0.0
-0.8572,-0.0793,0.4294,0.36177218979194736,"['Attention', 'Attention']",2.0,0.0004732256485560451
0.1463,0.0,-0.1882,0.0,[],0.0,0.0
0.638,0.0,-0.1508,0.0,[],0.0,0.0
-0.4765,-0.0428,0.6927,0.5374943870678044,"['Attention', 'Attention']",2.0,0.0007030837004405289
-0.6227,-0.1538,0.7842,0.0,[],0.0,0.0
-0.4051,0.2,-0.1528,0.0,[],0.0,0.0
-0.7193,0.0,0.2616,0.0,[],0.0,0.0
0.7971,-0.0879,-0.435,0.0,[],0.0,0.0
0.5565,0.055,-0.3994,2.3333333333333335,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.009156534508076358
0.3269,-0.119,-0.8902,0.0,[],0.0,0.0
-0.1072,0.0,-0.4942,0.0,[],0.0,0.0
0.857,-0.1749,-0.6115,0.0,[],0.0,0.0
-0.675,0.2,-0.1889,0.0,[],0.0,0.0
-0.4477,0.2,-0.1983,0.0,[],0.0,0.0
-0.438,0.0,-0.1826,0.0,[],0.0,0.0
-0.498,-0.0745,0.6927,0.0,[],0.0,0.0
0.4724,0.0553,-0.2083,1.4250860649603354,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.006524424865394029
0.2116,-0.0371,-0.8788,0.0,[],0.0,0.0
-0.3803,0.0,0.1433,0.0,[],0.0,0.0
-0.3572,-0.1094,0.4392,0.17572219727585695,['Attention'],1.0,0.00011492902594224184
0.093,0.2,-0.2769,0.0,[],0.0,0.0
0.7167,-0.0855,-0.392,0.0,[],0.0,0.0
-0.5335,0.0,0.2675,0.0,[],0.0,0.0
0.3989,-0.0345,-0.892,0.0,[],0.0,0.0
0.3948,0.0246,-0.6253,0.0,[],0.0,0.0
-0.2188,-0.0606,-0.0757,0.0,[],0.0,0.0
-0.5195,0.2,0.3203,0.0,[],0.0,0.0
