x,y,z,SaliencyScore,NormalizedScore
-0.7346,-0.2,0.8739,0.0,0.0
-0.5633,0.1073,0.6927,1.1235976065818998,0.050164878741077765
0.5586,0.0,-0.4372,1.2000747943156322,0.053579329632257804
-0.4633,0.0,0.2803,0.0,0.0
0.0511,0.0,-0.6446,0.0,0.0
0.3966,-0.1795,-0.892,1.5774121166791324,0.07042618023959595
-0.6132,0.0,-0.2644,0.0,0.0
-0.6435,0.0,-0.0594,0.0,0.0
-0.7822,-0.2,0.5734,0.0,0.0
-0.1264,0.0,-0.3707,0.0,0.0
-0.4995,-0.2,-0.4444,0.0,0.0
0.6227,0.2,-0.3741,0.0,0.0
0.5939,-0.173,-0.392,0.0,0.0
-0.3927,-0.2,0.3395,0.0,0.0
-0.8511,0.0242,0.892,0.0,0.0
-0.8264,0.189,0.0821,0.0,0.0
0.5196,0.0,-0.5786,0.0,0.0
-0.629,0.2,0.542,0.0,0.0
-0.0448,0.2,-0.1925,0.0,0.0
-0.7069,-0.2,0.7681,0.0,0.0
0.2357,-0.2,-0.6102,0.0,0.0
-0.3288,0.0,-0.1319,0.0,0.0
-0.0195,0.2,-0.4342,0.0,0.0
0.4888,-0.0587,-0.892,0.0,0.0
-0.8572,-0.0756,0.8028,0.0,0.0
-0.2574,-0.1449,-0.0155,1.9715781600598357,0.08802437700880746
0.0106,0.0,-0.3723,0.0,0.0
-0.4372,-0.2,-0.5088,0.0,0.0
-0.6575,0.2,0.7452,0.7672961854899027,0.03425721083608131
0.5638,0.0,-0.0848,0.7119483919222139,0.031786116792586715
0.5761,-0.2,-0.6808,0.0,0.0
0.0251,0.0,-0.6732,0.0,0.0
-0.1784,0.2,-0.3421,4.044783096484667,0.1805860500062612
-0.5478,0.0,-0.1466,0.0,0.0
-0.3954,0.0,0.4985,0.0,0.0
0.1927,0.0,-0.6029,0.0,0.0
0.6482,0.0,-0.3359,1.648840688107704,0.07361522728221398
-0.1798,0.2,-0.2892,0.7664547494390427,0.03421964352798765
0.0956,-0.1899,-0.3305,0.0,0.0
-0.8565,0.0943,0.3168,0.24457741211667913,0.010919564219226113
-0.3572,0.0749,0.892,0.0,0.0
0.3842,-0.1841,-0.8919,1.7942221391174271,0.08010602329173101
0.6493,0.174,-0.1665,0.0,0.0
-0.8531,0.0444,0.2564,0.0,0.0
-0.8572,-0.0793,0.4294,2.404356768885565,0.10734649580498394
0.1463,0.0,-0.1882,2.324513836948392,0.10378177568142923
0.638,0.0,-0.1508,0.6017202692595363,0.026864799432316233
-0.4765,-0.0428,0.6927,0.21596858638743457,0.009642275744041409
-0.6227,-0.1538,0.7842,0.0,0.0
-0.4051,0.2,-0.1528,0.0,0.0
-0.7193,0.0,0.2616,0.0,0.0
0.7971,-0.0879,-0.435,0.0,0.0
0.5565,0.055,-0.3994,3.4540014958863132,0.15420962557916268
0.3269,-0.119,-0.8902,0.0,0.0
-0.1072,0.0,-0.4942,0.0,0.0
0.857,-0.1749,-0.6115,0.0,0.0
-0.675,0.2,-0.1889,0.21596858638743457,0.009642275744041409
-0.4477,0.2,-0.1983,0.0,0.0
-0.438,0.0,-0.1826,0.0,0.0
-0.498,-0.0745,0.6927,0.0,0.0
0.4724,0.0553,-0.2083,0.9008975317875841,0.040222064532287015
0.2116,-0.0371,-0.8788,0.0,0.0
-0.3803,0.0,0.1433,0.0,0.0
-0.3572,-0.1094,0.4392,0.0,0.0
0.093,0.2,-0.2769,0.0,0.0
0.7167,-0.0855,-0.392,0.0,0.0
-0.5335,0.0,0.2675,0.0,0.0
0.3989,-0.0345,-0.892,0.9160433807030666,0.040898276077973035
0.3948,0.0246,-0.6253,0.0,0.0
-0.2188,-0.0606,-0.0757,0.0,0.0
-0.5195,0.2,0.3203,0.0,0.0
-0.3572,0.1208,0.8248,1.0279543754674645,0.04589472805443085
-0.2382,0.2,-0.1891,0.6025617053103964,0.0269023667404099
0.3992,0.0,-0.5806,0.0,0.0
0.5665,0.1538,-0.2876,1.4623223635003741,0.06528780732145094
-0.8572,-0.0133,0.608,0.0,0.0
0.0684,0.0,-0.5904,0.0,0.0
-0.1234,0.102,-0.1309,0.9857890800299178,0.04401218850440373
-0.4073,0.0,-0.4135,0.0,0.0
0.5702,-0.2,-0.494,0.0,0.0
-0.3742,-0.2,-0.5035,0.0,0.0
0.0481,0.0,-0.6262,0.0,0.0
-0.4942,-0.0908,0.6927,0.0,0.0
0.8214,-0.1095,-0.8562,0.0,0.0
-0.3845,0.2,0.1735,0.0,0.0
-0.8417,0.0,0.4726,0.5286088257292446,0.023600617773510874
0.4949,0.1087,-0.2594,6.564323111443532,0.29307509287473393
0.4227,0.0,-0.8874,0.0,0.0
-0.5844,0.2,-0.1368,0.0,0.0
0.4258,0.2,-0.1415,1.574887808526552,0.07031347831531494
-0.2315,0.0,-0.4899,0.0,0.0
-0.5412,0.0,0.152,0.0,0.0
0.678,0.1732,-0.5575,0.7664547494390426,0.03421964352798764
-0.3865,0.2,0.3509,0.0,0.0
-0.2831,-0.2,-0.5649,0.0,0.0
0.2003,0.2,-0.3473,0.0,0.0
-0.5303,0.0,0.5806,0.0,0.0
0.2088,0.0,-0.3446,0.43277860882572927,0.019322118796176485
-0.7956,0.1596,0.8231,0.0,0.0
-0.3572,-0.1807,0.6311,0.0,0.0
0.6133,-0.2,-0.5104,0.0,0.0
