x,y,z,SaliencyScore,NormalizedScore
0.7867,0.1665,-0.3614,0.0,0.0
-0.6498,-0.1726,0.3672,0.0,0.0
-0.7891,-0.341,-0.5693,0.0,0.0
0.3535,0.2141,-0.4061,5.653730344596856,0.3246218124189598
-0.5988,-0.1726,0.1975,0.4998327199732353,0.02869903472122173
-0.2139,-0.4026,-0.4245,0.0,0.0
-0.6205,-0.4026,0.3838,0.0,0.0
-0.4747,-0.1726,0.5918,0.0,0.0
0.7476,-0.3976,-0.602,1.0603880896620945,0.06088459876098545
-0.1444,-0.1365,-0.2203,0.0,0.0
0.543,-0.2756,-0.4175,2.4289059886249587,0.13946117274167988
0.654,-0.2089,-0.61,0.0,0.0
0.6059,-0.4026,-0.3429,0.3742054198728672,0.02148585698506459
-0.3076,-0.1726,0.3269,1.4620274339243897,0.08394563703596984
0.25,-0.3345,-0.0514,0.0,0.0
-0.5744,-0.1866,-0.5839,0.0,0.0
-0.2023,0.3376,-0.1283,0.0,0.0
0.2933,-0.0731,-0.1619,0.0,0.0
-0.1097,-0.1227,-0.7106,0.0,0.0
-0.0372,0.2161,-0.0248,0.0,0.0
0.2588,0.1221,0.0554,0.9792572766811645,0.05622628823896653
0.5162,-0.2146,-0.663,0.0,0.0
0.1801,-0.4026,-0.4466,0.0,0.0
-0.5969,-0.1726,-0.034,0.0,0.0
0.7854,-0.0035,-0.0801,1.9436266309802614,0.1115977524852327
0.1723,0.0369,-0.0547,0.0,0.0
0.5953,-0.2691,-0.4231,1.9538307126129144,0.11218364308697115
-0.6852,-0.1726,0.0376,0.0,0.0
-0.5235,-0.4026,-0.058,0.0,0.0
0.6289,-0.2132,-0.4705,1.7042489126798264,0.09785333525428613
-0.0039,-0.1982,-0.5974,0.0,0.0
0.4057,-0.0771,-0.2708,0.0,0.0
0.7867,0.1456,-0.1963,1.4713951154232188,0.08448350381789368
-0.481,-0.1726,0.191,1.3461023753763803,0.0772895356096624
-0.5586,-0.4026,-0.2462,0.0,0.0
-0.5664,-0.4026,0.3507,0.0,0.0
-0.2777,0.2638,-0.0655,0.0,0.0
0.2653,0.1452,-0.4603,0.0,0.0
-0.0886,-0.4026,-0.0211,0.0,0.0
-0.0321,0.0369,-0.1417,0.0,0.0
0.5783,0.3776,-0.1623,0.7296754767480764,0.04189598040628152
-0.5044,0.1931,-0.3423,0.0,0.0
-0.4445,-0.1083,-0.2031,0.0,0.0
0.5747,0.3636,-0.1504,0.240214118434259,0.013792441050761179
-0.2892,-0.2522,0.2221,0.0,0.0
0.0315,0.3253,-0.1178,0.0,0.0
-0.7892,-0.2236,0.2488,0.0,0.0
-0.5044,0.3027,-0.2825,0.0,0.0
0.0956,-0.1006,-0.6218,0.0,0.0
-0.3005,-0.0524,-0.8439,0.0,0.0
-0.6389,-0.2026,0.7118,0.0,0.0
-0.3949,-0.1726,0.3045,0.0,0.0
-0.0325,-0.1072,-0.5411,0.0,0.0
0.023,-0.0863,-0.5124,0.0,0.0
0.4376,0.084,-0.4081,0.0,0.0
-0.2173,0.3639,-0.1507,0.0,0.0
0.5295,-0.1415,-0.2188,0.0,0.0
-0.5044,0.142,-0.3712,0.0,0.0
-0.7816,-0.2123,0.9091,0.0,0.0
-0.267,-0.4026,-0.1704,0.0,0.0
-0.2892,-0.3379,0.2689,0.24690531950485117,0.014176631609278203
-0.7892,-0.3509,0.0928,0.0,0.0
-0.1309,0.0369,-0.2225,0.0,0.0
-0.7892,-0.2061,0.9018,0.0,0.0
-0.4361,-0.2026,0.8609,0.0,0.0
-0.1911,-0.0711,-0.4945,0.0,0.0
-0.0007,-0.2603,-0.1147,0.36483773837403827,0.020947990203140764
0.4678,0.0369,-0.2415,0.0,0.0
-0.2892,-0.3344,0.6186,0.0,0.0
0.0616,-0.1617,-0.5546,0.0,0.0
-0.7891,-0.2694,-0.47,0.0,0.0
-0.2892,-0.3083,-0.0211,0.6490465038474407,0.03726648417615137
-0.1298,0.0064,-0.4192,0.0,0.0
-0.0794,-0.2045,-0.1623,0.2509200401472065,0.014407145944388418
-0.1864,-0.3284,-0.0568,1.5500167280026769,0.08899774288046873
0.7866,0.2249,-0.1924,0.48979591836734704,0.02812274888344619
-0.0288,-0.4026,-0.0236,0.0,0.0
-0.4805,-0.2026,0.6981,0.0,0.0
-0.1173,0.0285,-0.4213,0.0,0.0
-0.5867,-0.2481,0.9091,0.0,0.0
0.4702,-0.4026,-0.569,0.0,0.0
-0.2613,-0.1268,-0.6949,0.0,0.0
-0.3579,-0.2407,-0.6935,0.0,0.0
0.5295,-0.0847,-0.4373,0.49447975911676156,0.02839168227440811
0.5696,-0.1537,-0.5453,3.929073268651724,0.22559669596119677
-0.7355,-0.2026,0.0756,0.0,0.0
-0.1577,-0.2718,-0.7302,0.0,0.0
0.3529,0.2459,-0.3688,0.0,0.0
-0.4203,-0.4026,-0.3187,0.0,0.0
-0.348,-0.1726,0.1626,5.550518568082973,0.3186956730538348
-0.3975,-0.0751,-0.2727,0.0,0.0
0.0736,0.2365,-0.0421,0.0,0.0
0.0971,0.3779,-0.1626,0.0,0.0
0.0217,-0.1048,-0.7797,0.0,0.0
0.6669,-0.1776,-0.5733,0.0,0.0
-0.0018,-0.4026,-0.4602,0.0,0.0
0.2107,-0.2843,-0.0942,0.0,0.0
0.7867,-0.1548,-0.5555,0.0,0.0
-0.5959,-0.4026,-0.5756,0.0,0.0
-0.5784,-0.1726,-0.0483,0.0,0.0
-0.4685,-0.4026,0.2189,0.0,0.0
-0.2239,-0.1187,-0.5041,0.0,0.0
-0.2526,-0.0212,-0.6807,0.0,0.0
-0.1336,-0.3906,-0.6343,0.0,0.0
-0.1978,-0.0192,-0.6704,0.49013047842087665,0.028141958411372042
0.3441,-0.3223,-0.6926,0.0,0.0
-0.5044,0.1981,-0.2216,0.0,0.0
-0.0703,-0.2852,-0.6995,0.0,0.0
0.1692,-0.2244,-0.6744,5.339243894279025,0.3065648561686597
0.2203,0.0369,-0.3038,0.0,0.0
0.0567,-0.1328,-0.6714,0.0,0.0
0.5071,0.3741,-0.1593,0.7286717965874876,0.041838351822503964
0.4689,-0.2317,-0.1391,0.0,0.0
-0.6455,-0.4026,-0.1321,0.0,0.0
-0.1079,-0.0711,-0.4483,0.0,0.0
-0.5044,0.1222,-0.3377,0.0,0.0
-0.4582,-0.3511,0.9091,0.0,0.0
-0.6146,-0.4026,-0.2407,0.0,0.0
-0.6093,-0.2026,0.3985,0.24188691870190704,0.013888488690390435
-0.7891,-0.3937,-0.3744,0.0,0.0
0.1583,0.3894,-0.1724,0.3705252592840415,0.021274552177880227
-0.7891,-0.3443,-0.5159,0.0,0.0
-0.0232,-0.255,-0.7109,0.0,0.0
-0.0937,-0.0833,-0.547,0.0,0.0
0.5296,-0.3488,-0.4458,0.0,0.0
-0.2307,-0.0395,-0.7764,0.0,0.0
-0.2638,-0.0929,-0.8881,0.0,0.0
0.636,-0.3375,-0.365,3.0523586483773846,0.17525812803150365
0.4368,-0.0161,-0.3228,0.0,0.0
-0.108,-0.1364,-0.2203,0.0,0.0
0.0673,-0.0462,-0.4942,1.4737370357979263,0.08461797051337465
-0.2467,-0.0343,-0.4574,0.0,0.0
0.0252,-0.1106,-0.7571,0.0,0.0
-0.3229,-0.2066,-0.6072,0.0,0.0
-0.0683,-0.4026,-0.1597,0.0,0.0
0.5576,-0.0624,-0.2834,0.0,0.0
0.3576,0.1637,0.02,0.24991635998661765,0.014349517360610865
-0.1913,-0.3099,-0.0725,2.114252258280362,0.12139461172741682
-0.1316,-0.1609,-0.5999,0.0,0.0
-0.2389,-0.0051,-0.3709,0.0,0.0
-0.0407,-0.1633,-0.5564,0.0,0.0
-0.3015,-0.1726,0.8282,1.3457678153228507,0.07727032608173655
-0.4309,-0.0334,-0.4504,0.0,0.0
-0.1355,-0.0202,-0.4571,0.0,0.0
-0.3996,-0.1726,0.3204,0.36651053864168626,0.021044037842770015
0.6344,-0.1947,-0.4862,0.2405486784877886,0.013811650578687029
-0.0598,-0.1119,-0.5466,0.0,0.0
-0.1852,-0.0086,-0.6152,0.49013047842087665,0.028141958411372042
0.0258,-0.0929,-0.6164,0.0,0.0
-0.0451,-0.2011,-0.1652,0.0,0.0
-0.4443,0.027,-0.3597,0.0,0.0
-0.7892,-0.2574,0.3886,0.0,0.0
0.3857,-0.4026,-0.5733,0.0,0.0
-0.7892,-0.3149,-0.0426,0.0,0.0
-0.5044,0.2305,-0.2063,0.0,0.0
-0.5747,-0.1726,0.7602,0.0,0.0
0.7866,0.1075,-0.0561,3.2283372365339584,0.18536233972050137
-0.4181,-0.1063,-0.2008,0.0,0.0
-0.6325,-0.2026,0.5697,0.0,0.0
0.4535,-0.4026,-0.1187,0.0,0.0
0.2627,0.3768,-0.1616,0.0,0.0
-0.6623,-0.4026,-0.5679,0.0,0.0
0.0456,-0.0112,-0.4443,0.0,0.0
0.7139,0.3416,-0.2565,0.0,0.0
-0.5333,-0.2026,0.3671,0.3671796587487455,0.021082456898621718
-0.2488,-0.343,-0.6749,0.0,0.0
0.403,-0.1005,-0.5291,0.0,0.0
-0.3648,-0.1726,0.1315,3.166945466711275,0.18183739134610766
0.6535,0.2126,-0.4079,2.549347607895618,0.14637660279498632
0.2506,-0.3192,-0.6952,0.0,0.0
-0.6007,-0.1726,0.4659,0.0,0.0
-0.7892,-0.2905,0.1114,0.0,0.0
0.0139,-0.0532,-0.5042,0.0,0.0
-0.3998,-0.4026,-0.0273,0.0,0.0
-0.1806,-0.0439,-0.7994,0.0,0.0
-0.327,-0.1331,-0.6179,0.0,0.0
-0.294,-0.0117,-0.3786,0.0,0.0
-0.7386,-0.1781,0.9091,0.0,0.0
-0.2495,-0.1985,-0.1674,0.8613248578119774,0.04945492964510398
-0.7433,-0.4026,0.1634,0.0,0.0
0.3307,-0.0467,-0.2968,0.0,0.0
0.3677,-0.3996,0.004,0.0,0.0
-0.284,0.0117,-0.4117,0.0,0.0
0.6725,0.3175,-0.2848,0.0,0.0
-0.35,-0.4026,-0.0867,0.0,0.0
0.7866,0.2638,-0.2619,2.442622950819673,0.1402487633866398
-0.7657,0.0098,-0.3534,0.0,0.0
0.7683,-0.2557,-0.6649,0.0,0.0
-0.7892,-0.206,0.4332,0.0,0.0
0.5295,-0.0918,-0.3009,0.0,0.0
0.027,-0.1093,-0.584,0.0,0.0
0.0268,-0.4026,-0.3159,0.0,0.0
-0.0319,-0.0929,-0.8042,0.0,0.0
0.4364,-0.3459,-0.0417,0.0,0.0
0.3793,-0.1997,-0.6454,0.0,0.0
-0.466,-0.1726,0.9031,0.0,0.0
-0.0407,-0.4026,-0.2101,0.0,0.0
0.4876,0.0369,-0.1814,0.0,0.0
-0.4245,-0.2026,0.7384,0.0,0.0
-0.6484,-0.1726,0.5102,0.0,0.0
-0.2416,0.2527,-0.056,0.0,0.0
0.0815,-0.3923,-0.6329,0.0,0.0
-0.27,-0.0498,-0.4993,0.0,0.0
-0.1114,-0.0785,-0.5402,0.0,0.0
-0.4668,-0.4026,-0.577,0.0,0.0
-0.7892,-0.296,-0.1404,0.0,0.0
0.7866,0.035,-0.0393,0.663265306122449,0.03808288911300005
-0.2077,-0.1934,-0.1717,1.3430913348946139,0.07711664985832974
-0.5043,0.0203,-0.353,0.0,0.0
-0.1047,0.2773,-0.0769,0.0,0.0
-0.2892,-0.2353,-0.0734,0.0,0.0
0.5244,0.0233,-0.3563,0.0,0.0
-0.4289,-0.4026,0.8461,0.0,0.0
-0.7341,-0.4026,0.2218,0.0,0.0
-0.4654,-0.1726,0.4911,0.4854466376714621,0.027873025020410124
-0.0381,-0.1706,-0.6113,0.0,0.0
0.7445,-0.2207,-0.5433,0.0,0.0
-0.5088,-0.4026,0.6649,0.0,0.0
-0.1616,-0.0097,-0.4292,0.0,0.0
0.1092,0.0203,-0.0522,0.0,0.0
0.1223,-0.2037,-0.6502,0.0,0.0
0.3396,-0.4026,-0.3403,0.0,0.0
0.6566,0.2752,-0.3344,0.0,0.0
-0.2172,-0.2561,-0.7116,0.0,0.0
0.1668,-0.3208,-0.0632,0.0,0.0
-0.7892,-0.2657,0.1487,0.0,0.0
-0.1467,-0.1257,-0.6074,0.0,0.0
0.2172,-0.2242,-0.6742,2.6493810639009707,0.15212025164481585
0.5086,-0.0072,-0.3734,0.0,0.0
0.4893,-0.0837,-0.5094,0.0,0.0
0.297,0.0255,-0.3583,0.0,0.0
-0.7892,-0.193,-0.424,0.0,0.0
-0.2184,-0.4026,-0.5054,0.0,0.0
-0.6967,0.0132,-0.3494,0.0,0.0
-0.5058,-0.2806,0.9091,0.0,0.0
-0.4354,-0.1726,0.2572,0.0,0.0
0.0407,-0.1851,-0.8095,0.0,0.0
-0.7074,-0.4026,0.7062,0.0,0.0
-0.5145,-0.1726,0.2067,0.8459350953496154,0.04857129136051482
0.4888,-0.1872,-0.6307,0.0,0.0
-0.5451,-0.1164,-0.5478,0.0,0.0
-0.5138,-0.2026,0.4095,0.48343927735028447,0.02775776785285502
-0.381,0.0844,-0.4086,0.0,0.0
-0.3687,-0.2026,0.3811,0.2398795583807294,0.01377323152283533
0.3385,-0.0306,-0.4471,0.0,0.0
-0.2688,0.0369,-0.3392,0.0,0.0
0.4987,-0.3777,-0.0146,0.0,0.0
-0.2046,-0.2488,-0.7037,0.0,0.0
0.1675,0.3869,-0.1703,0.3705252592840415,0.021274552177880227
0.7195,-0.0671,-0.4742,3.293576446972232,0.18910819766604237
-0.1363,-0.4026,-0.4988,0.0,0.0
0.6123,-0.0625,-0.2833,0.0,0.0
0.253,-0.0463,-0.2971,0.0,0.0
0.3835,-0.3465,-0.0412,0.0,0.0
0.3895,0.0862,0.0251,0.0,0.0
-0.0586,0.0051,-0.5435,0.0,0.0
-0.6664,-0.4026,-0.1911,0.0,0.0
0.2594,0.0559,-0.3842,0.0,0.0
0.0278,-0.0929,-0.7931,0.0,0.0
-0.3406,-0.4026,-0.0763,0.0,0.0
0.7449,-0.0973,-0.1902,0.0,0.0
-0.0415,0.2671,-0.3438,0.0,0.0
0.6283,0.0369,-0.3185,0.0,0.0
-0.7892,-0.1809,0.2578,0.0,0.0
-0.6955,-0.4026,-0.3835,0.0,0.0
0.3781,-0.4026,-0.2577,0.0,0.0
-0.7892,-0.2812,-0.2356,0.0,0.0
-0.1401,-0.0929,-0.7735,0.0,0.0
-0.3382,-0.2026,0.3361,0.2398795583807294,0.01377323152283533
-0.3797,-0.1726,0.6774,0.0,0.0
-0.467,0.2731,-0.3369,0.0,0.0
-0.5228,-0.4026,0.8203,0.0,0.0
-0.0044,-0.3013,-0.7104,0.0,0.0
-0.1732,0.0459,-0.0222,0.0,0.0
0.0444,-0.4026,-0.4271,0.0,0.0
-0.1534,-0.1062,-0.7743,0.0,0.0
0.5901,0.0597,-0.0061,0.0,0.0
-0.2892,-0.2515,0.3509,0.0,0.0
0.033,0.0299,-0.3837,0.0,0.0
-0.5972,-0.1744,-0.1896,0.0,0.0
0.373,0.0369,-0.0983,0.0,0.0
-0.0281,0.2443,-0.3706,0.0,0.0
0.1348,-0.0143,-0.4279,0.0,0.0
0.0695,-0.3865,-0.6379,0.0,0.0
-0.0984,-0.4007,-0.6257,0.0,0.0
0.0706,-0.0435,-0.4903,2.345433255269321,0.13466839552418
-0.2892,-0.3396,0.3419,0.0,0.0
