x,y,z,SaliencyScore,NormalizedScore
-0.047,-0.0303,-0.8398,0.0,0.0
-0.1559,-0.212,-0.5888,0.0,0.0
0.0267,-0.215,-0.1451,0.0,0.0
0.0821,-0.0213,0.5237,0.0,0.0
0.2503,0.0311,-0.1972,0.34610215053763443,0.013524514824443919
0.4618,-0.1251,0.0956,0.0,0.0
-0.1035,0.041,-0.3565,0.0,0.0
-0.5303,-0.0086,-0.1118,0.0,0.0
0.0588,-0.2031,-0.201,0.0,0.0
-0.1727,-0.111,0.1346,0.0,0.0
-0.3955,-0.212,-0.538,0.0,0.0
0.3441,-0.0603,0.5753,1.5537634408602152,0.06071588014391134
0.1196,-0.2177,0.45,0.8165322580645161,0.031907350508154096
-0.1439,-0.212,-0.7623,0.0,0.0
-0.4985,-0.0267,0.4315,0.0,0.0
-0.1714,-0.0205,0.4638,0.0,0.0
-0.2438,-0.057,-0.7919,0.0,0.0
0.1924,0.0006,-0.1219,0.0,0.0
-0.1259,-0.2152,-0.0932,0.0,0.0
-0.1411,-0.2147,-0.2076,0.0,0.0
0.1683,-0.0683,-0.4349,0.0,0.0
-0.5597,-0.1953,-0.8543,0.0,0.0
-0.2491,-0.0247,-0.8398,0.0,0.0
-0.4073,-0.0977,0.172,0.0,0.0
-0.6682,0.0502,-0.14,0.0,0.0
-0.34,-0.0239,0.4681,0.0,0.0
0.3057,-0.1514,-0.9077,0.0,0.0
0.3474,-0.0511,0.3165,0.0,0.0
-0.1668,-0.1868,-0.1081,0.0,0.0
-0.5158,0.0842,-0.4803,0.601478494623656,0.023503768481315163
-0.5751,0.0331,-0.2032,0.0,0.0
-0.0591,-0.2142,-0.33,0.0,0.0
0.2825,0.1214,-0.4366,0.0,0.0
0.1605,-0.2133,-0.3312,0.0,0.0
0.071,-0.212,-0.5583,0.0,0.0
0.5175,-0.2169,0.2415,0.6061827956989247,0.02368759683815226
-0.5374,0.1698,-0.7309,0.0,0.0
0.2307,0.1531,-0.5741,0.0,0.0
-0.0194,-0.0825,0.2144,0.0,0.0
-0.3509,-0.212,-0.7704,0.0,0.0
-0.0637,0.1406,-0.7982,2.9892473118279574,0.11680979017306127
-0.1565,-0.0196,-0.8398,0.0,0.0
-0.2607,0.0213,-0.8398,0.0,0.0
-0.0773,-0.1332,0.0724,0.0,0.0
-0.4812,-0.0195,0.1403,1.2836021505376345,0.05015888022269492
-0.284,-0.2153,-0.0761,2.077284946236559,0.08117335014049737
0.1588,-0.2103,-0.2683,0.0,0.0
-0.02,-0.2036,-0.2028,0.0,0.0
-0.3676,-0.212,-0.5171,0.0,0.0
0.0864,-0.0205,0.388,0.0,0.0
0.4169,-0.213,-0.3214,1.038978494623656,0.04059980566716563
-0.2775,-0.212,-0.3272,0.0,0.0
-0.1973,0.0809,-0.4688,0.0,0.0
-0.4781,0.0098,-0.7924,0.0,0.0
-0.3982,-0.212,-0.7243,0.0,0.0
0.1994,-0.1661,-0.0249,1.032258064516129,0.04033719372882691
-0.4781,0.0086,-0.5783,1.7936827956989247,0.07009112634260353
0.1032,-0.0453,0.5665,0.0,0.0
-0.4781,-0.0435,-0.0115,0.0,0.0
0.5225,-0.0673,0.2598,0.0,0.0
-0.6404,-0.123,-0.8824,0.0,0.0
-0.5731,0.0062,-0.859,0.7728494623655915,0.03020037290895244
0.1683,-0.0044,-0.662,0.0,0.0
0.3706,-0.2035,-0.2025,3.1021505376344085,0.12122167073715169
0.5248,-0.2129,-0.1756,0.5120967741935484,0.020011029701410225
-0.0607,-0.0333,0.3995,0.0,0.0
-0.0516,-0.2174,0.3956,0.4509408602150537,0.0176212610625279
-0.2438,0.0916,-0.766,0.0,0.0
-0.1515,-0.0839,0.211,0.0,0.0
0.1729,-0.0837,0.2116,0.0,0.0
0.1683,-0.1504,-0.6879,0.0,0.0
-0.2438,0.0537,-0.7371,0.0,0.0
-0.1577,-0.0136,-0.111,0.0,0.0
0.1508,0.0411,-0.8398,0.0,0.0
-0.6652,-0.0916,-0.9051,1.8776881720430105,0.07337377557183748
-0.5433,-0.0751,-0.8486,0.0,0.0
-0.4781,-0.0342,-0.4517,0.0,0.0
-0.2438,0.0381,-0.5133,0.0,0.0
-0.413,-0.0232,0.4747,0.0,0.0
-0.4781,-0.0402,-0.8156,0.0,0.0
0.111,-0.1978,-0.8398,0.0,0.0
-0.2681,-0.2169,0.2846,0.0,0.0
-0.1198,-0.0481,0.3279,0.0,0.0
-0.1598,-0.0491,0.3239,0.0,0.0
0.3758,-0.0632,0.273,0.0,0.0
0.2086,0.0074,-0.1942,1.2896505376344085,0.05039523096719976
-0.6162,0.1092,-0.4176,0.0,0.0
0.032,-0.0301,0.4193,0.0,0.0
-0.5967,0.1177,-0.4983,0.0,0.0
-0.3038,-0.139,0.0564,0.0,0.0
0.26,0.0022,0.1168,0.0,0.0
-0.2438,0.0473,-0.4772,0.0,0.0
0.0416,0.1529,-0.7041,0.0,0.0
0.0596,-0.1105,0.1364,0.0,0.0
0.0122,0.0827,-0.4738,0.0,0.0
-0.6335,0.0504,-0.2573,0.0,0.0
0.1704,-0.02,0.1029,0.260752688172043,0.010189343207542213
0.2538,-0.0268,0.3269,0.0,0.0
-0.3813,-0.2067,-0.2282,0.0,0.0
-0.1542,-0.212,-0.8287,0.0,0.0
-0.4781,-0.0642,0.164,0.0,0.0
0.0695,-0.212,-0.5005,0.0,0.0
0.179,0.0413,-0.3814,0.0,0.0
-0.3628,0.047,-0.8398,0.0,0.0
0.2931,-0.0319,0.4803,0.0,0.0
0.2014,0.0833,-0.4215,0.0,0.0
-0.1772,-0.1562,0.007,0.0,0.0
-0.399,-0.041,0.3602,0.0,0.0
-0.4625,-0.0185,-0.0508,0.0,0.0
0.195,0.109,-0.5043,0.0,0.0
0.0215,-0.117,0.1179,0.0,0.0
-0.1119,-0.0309,0.4149,0.0,0.0
-0.6202,-0.0537,0.6244,0.3514784946236559,0.01373460437511489
0.1972,0.0652,-0.4188,0.0,0.0
0.0685,-0.0205,0.1614,0.605510752688172,0.023661335644318385
0.6422,-0.1525,-0.1483,0.0,0.0
0.1896,-0.2169,0.2292,0.0,0.0
-0.3162,0.0466,-0.3727,0.7728494623655914,0.030200372908952437
0.1797,-0.2145,-0.2924,0.0,0.0
0.2054,-0.1744,-0.0549,0.0,0.0
-0.2847,-0.0205,0.2476,0.0,0.0
-0.0056,-0.1003,0.1652,0.0,0.0
-0.1091,-0.2035,-0.2034,0.0,0.0
-0.4444,-0.0185,-0.0537,0.0,0.0
0.2235,0.0487,-0.2757,0.0,0.0
0.1683,0.0141,-0.2773,0.2614247311827957,0.010215604401376085
-0.2964,-0.1859,-0.1039,0.0,0.0
-0.4375,-0.2153,-0.0822,0.26276881720430106,0.01026812678904383
0.1683,-0.0631,0.3883,0.0,0.0
-0.4593,-0.0399,0.3653,0.0,0.0
0.6007,-0.1708,0.7218,0.0,0.0
0.5947,-0.1943,-0.298,0.0,0.0
-0.3774,-0.0351,0.3893,0.0,0.0
0.1852,-0.0054,-0.8348,0.0,0.0
-0.3359,-0.0205,0.4953,0.0,0.0
0.0542,-0.2155,-0.0405,0.0,0.0
0.4345,-0.2061,-0.2227,4.146505376344086,0.1620315659549883
0.1683,-0.139,0.3892,0.0,0.0
-0.1002,-0.212,-0.7205,0.0,0.0
-0.4248,-0.1859,-0.1037,0.0,0.0
-0.1105,-0.0146,-0.8398,0.0,0.0
-0.2438,-0.1458,0.0106,0.0,0.0
0.0002,-0.0205,0.4262,0.0,0.0
-0.0719,-0.0215,0.4968,0.0,0.0
0.0297,-0.0205,0.1349,1.043010752688172,0.04075737283016885
0.4277,-0.2179,0.4522,0.0,0.0
-0.3667,-0.1998,-0.1785,0.0,0.0
-0.6549,0.1013,-0.3969,0.773521505376344,0.030226634102786306
-0.3983,-0.212,-0.5998,0.0,0.0
-0.3907,-0.2144,-0.2698,0.0,0.0
-0.4525,-0.212,-0.7011,0.0,0.0
0.1011,0.156,-0.7586,0.0,0.0
0.1854,0.1069,-0.514,0.2614247311827957,0.010215604401376085
-0.2493,-0.0763,0.2321,0.0,0.0
-0.2995,-0.02,-0.0178,0.0,0.0
0.5245,-0.2176,0.3865,0.2513440860215054,0.00982168649386801
0.3549,-0.0317,0.4105,0.0,0.0
0.646,-0.162,-0.1366,0.0,0.0
-0.4781,0.0009,-0.2178,0.2540322580645161,0.009926731269203497
-0.5159,0.0902,-0.4973,0.342741935483871,0.01339320885527456
-0.0554,-0.1066,0.147,0.0,0.0
-0.5042,0.088,-0.5019,0.0,0.0
0.2524,-0.0914,0.19,0.0,0.0
0.4623,-0.2157,-0.0331,0.260752688172043,0.010189343207542213
-0.351,-0.0647,0.2681,0.0,0.0
-0.3699,-0.2173,0.3723,0.0,0.0
-0.0758,-0.212,-0.3392,0.0,0.0
-0.1345,0.0813,-0.8385,0.0,0.0
-0.6178,-0.1801,-0.8885,0.0,0.0
-0.2438,-0.0763,0.0135,0.0,0.0
0.1476,0.0713,-0.4419,0.0,0.0
-0.0359,-0.0159,-0.0879,0.0,0.0
-0.2438,-0.1402,0.0289,0.0,0.0
0.2188,-0.0538,0.3062,2.149865591397849,0.0840095590745555
0.0088,0.0378,-0.3471,0.0,0.0
-0.2098,-0.0205,0.2239,0.0,0.0
-0.1166,-0.0372,0.3793,0.0,0.0
-0.4781,-0.1794,-0.5659,0.0,0.0
-0.1267,-0.2169,0.2807,0.0,0.0
-0.2438,-0.0349,-0.6643,0.0,0.0
-0.2167,-0.2162,0.1159,0.0,0.0
-0.4771,-0.2163,0.1327,0.0,0.0
0.0551,-0.1342,0.0698,0.0,0.0
-0.4781,-0.093,0.0965,0.0,0.0
0.3474,-0.203,-0.1988,2.846774193548387,0.11124241708028046
-0.4781,-0.1121,-0.5544,0.0,0.0
-0.0717,-0.1392,0.056,0.0,0.0
-0.1576,-0.0621,0.2765,0.0,0.0
-0.1943,-0.1049,0.1523,0.0,0.0
0.2457,-0.1116,0.1335,0.0,0.0
-0.2438,-0.1286,-0.3203,0.0,0.0
0.3625,-0.2158,-0.0025,0.2614247311827957,0.010215604401376085
0.5922,-0.0073,0.405,0.0,0.0
-0.3299,-0.1133,0.1281,0.0,0.0
-0.194,-0.2172,0.3438,0.0,0.0
